job_id,scenario,seed,symbols,nu,spans,launch_power_dbm,output_csv,log_path,command,status
confirm_030_c_seed50,C,50,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_030_c_seed50.csv,results/final/logs/confirm_030_c_seed50.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 50 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_030_c_seed50.csv --log results/final/logs/confirm_030_c_seed50.log",planned_not_run
confirm_031_s_seed21,S,21,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_031_s_seed21.csv,results/final/logs/confirm_031_s_seed21.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 21 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_031_s_seed21.csv --log results/final/logs/confirm_031_s_seed21.log",planned_not_run
confirm_032_s_seed22,S,22,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_032_s_seed22.csv,results/final/logs/confirm_032_s_seed22.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 22 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_032_s_seed22.csv --log results/final/logs/confirm_032_s_seed22.log",planned_not_run
confirm_033_s_seed23,S,23,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_033_s_seed23.csv,results/final/logs/confirm_033_s_seed23.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 23 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_033_s_seed23.csv --log results/final/logs/confirm_033_s_seed23.log",planned_not_run
confirm_034_s_seed24,S,24,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_034_s_seed24.csv,results/final/logs/confirm_034_s_seed24.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 24 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_034_s_seed24.csv --log results/final/logs/confirm_034_s_seed24.log",planned_not_run
confirm_035_s_seed25,S,25,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_035_s_seed25.csv,results/final/logs/confirm_035_s_seed25.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 25 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_035_s_seed25.csv --log results/final/logs/confirm_035_s_seed25.log",planned_not_run
confirm_036_s_seed26,S,26,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_036_s_seed26.csv,results/final/logs/confirm_036_s_seed26.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 26 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_036_s_seed26.csv --log results/final/logs/confirm_036_s_seed26.log",planned_not_run
confirm_037_s_seed27,S,27,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_037_s_seed27.csv,results/final/logs/confirm_037_s_seed27.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 27 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_037_s_seed27.csv --log results/final/logs/confirm_037_s_seed27.log",planned_not_run
confirm_038_s_seed28,S,28,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_038_s_seed28.csv,results/final/logs/confirm_038_s_seed28.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 28 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_038_s_seed28.csv --log results/final/logs/confirm_038_s_seed28.log",planned_not_run
confirm_039_s_seed29,S,29,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_039_s_seed29.csv,results/final/logs/confirm_039_s_seed29.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 29 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_039_s_seed29.csv --log results/final/logs/confirm_039_s_seed29.log",planned_not_run
confirm_040_s_seed30,S,30,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_040_s_seed30.csv,results/final/logs/confirm_040_s_seed30.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 30 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_040_s_seed30.csv --log results/final/logs/confirm_040_s_seed30.log",planned_not_run
confirm_041_s_seed31,S,31,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_041_s_seed31.csv,results/final/logs/confirm_041_s_seed31.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 31 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_041_s_seed31.csv --log results/final/logs/confirm_041_s_seed31.log",planned_not_run
confirm_042_s_seed32,S,32,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_042_s_seed32.csv,results/final/logs/confirm_042_s_seed32.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 32 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_042_s_seed32.csv --log results/final/logs/confirm_042_s_seed32.log",planned_not_run
confirm_043_s_seed33,S,33,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_043_s_seed33.csv,results/final/logs/confirm_043_s_seed33.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 33 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_043_s_seed33.csv --log results/final/logs/confirm_043_s_seed33.log",planned_not_run
confirm_044_s_seed34,S,34,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_044_s_seed34.csv,results/final/logs/confirm_044_s_seed34.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 34 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_044_s_seed34.csv --log results/final/logs/confirm_044_s_seed34.log",planned_not_run
