scenario,stage,seed,symbols,nu,spans,launch_power_dbm,uniform_bmd_rate_bit_per_symbol,pcs_stored_score_bit_per_symbol,entropy_correction_bit_per_symbol,pcs_corrected_bmd_rate_bit_per_symbol,delta_corrected_bmd_gain_bit_per_symbol,ber_uniform,ber_pcs,gsnr_uniform_db,gsnr_pcs_db,notes
S,final_confirmation,26,131072,0.36,12,-2,3.751730917,3.78587162,0.02960839165,3.756263229,0.004532311505,0.01590538025,0.01222610474,13.45341124,13.3700202,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,27,131072,0.36,12,-2,3.753673277,3.788326515,0.02960839165,3.758718123,0.00504484545,0.01610374451,0.01174926758,13.44681943,13.39978273,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,28,131072,0.36,12,-2,3.752759966,3.786757579,0.02960839165,3.757149187,0.004389221522,0.01578712463,0.01173210144,13.44414584,13.3998954,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,29,131072,0.36,12,-2,3.756558524,3.78427291,0.02960839165,3.754664519,-0.0018940053,0.01578140259,0.01169967651,13.47540741,13.40669915,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,30,131072,0.36,12,-2,3.753148794,3.786009064,0.02960839165,3.756400673,0.003251878781,0.0156879425,0.01175689697,13.44324759,13.39720033,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,31,131072,0.36,12,-2,3.756151073,3.783563953,0.02960839165,3.753955562,-0.002195511503,0.01556777954,0.01196289062,13.47280139,13.3966637,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,32,131072,0.36,12,-2,3.753721959,3.782837752,0.02960839165,3.75322936,-0.0004925987713,0.01541519165,0.01181793213,13.47902455,13.38567998,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,33,131072,0.36,12,-2,3.757184306,3.787980093,0.02960839165,3.758371702,0.001187395928,0.01549339294,0.01198768616,13.47005412,13.40895157,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,34,131072,0.36,12,-2,3.756049888,3.785658665,0.02960839165,3.756050274,3.851819255e-07,0.01601600647,0.01191329956,13.43938588,13.42157625,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,35,131072,0.36,12,-2,3.744423991,3.784049374,0.02960839165,3.754440982,0.01001699181,0.01605033875,0.01163101196,13.45029111,13.40781739,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,36,131072,0.36,12,-2,3.755983551,3.788195333,0.02960839165,3.758586942,0.002603390983,0.0156993866,0.01192092896,13.4746449,13.38838772,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,37,131072,0.36,12,-2,3.761151758,3.791911845,0.02960839165,3.762303453,0.001151694434,0.01575469971,0.0118560791,13.45631787,13.39232062,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,38,131072,0.36,12,-2,3.761904559,3.787094616,0.02960839165,3.757486225,-0.004418334525,0.01573562622,0.01201820374,13.46293207,13.38502814,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,39,131072,0.36,12,-2,3.751237289,3.78246002,0.02960839165,3.752851628,0.00161433941,0.01570320129,0.01196861267,13.46787102,13.40135083,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,40,131072,0.36,12,-2,3.752162598,3.783172862,0.02960839165,3.753564471,0.00140187299,0.01585388184,0.0120010376,13.44747034,13.38930763,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,41,131072,0.36,12,-2,3.753796097,3.780640778,0.02960839165,3.751032386,-0.002763710811,0.01593399048,0.01188468933,13.46226312,13.39095165,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,42,131072,0.36,12,-2,3.760556049,3.781610733,0.02960839165,3.752002342,-0.008553706951,0.01558113098,0.01173210144,13.46256162,13.40407701,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,43,131072,0.36,12,-2,3.760465016,3.787278533,0.02960839165,3.757670142,-0.002794874496,0.01580238342,0.01203918457,13.46548373,13.39174879,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,44,131072,0.36,12,-2,3.759103421,3.788947356,0.02960839165,3.759338965,0.0002355434176,0.01549911499,0.01170158386,13.45635593,13.40106468,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,45,131072,0.36,12,-2,3.746894825,3.782866692,0.02960839165,3.753258301,0.006363475845,0.0161151886,0.01203346252,13.43877291,13.39038891,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,46,131072,0.36,12,-2,3.757943293,3.791483454,0.02960839165,3.761875062,0.00393176875,0.01557159424,0.01163291931,13.46582109,13.40422444,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,47,131072,0.36,12,-2,3.76429254,3.792562697,0.02960839165,3.762954305,-0.001338234883,0.01559257507,0.0118598938,13.47847356,13.40020084,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,48,131072,0.36,12,-2,3.759017086,3.786452735,0.02960839165,3.756844343,-0.002172743433,0.01566886902,0.01190567017,13.45524545,13.39256487,day8_waveform_surrogate_confirmation_adapter
