seed,launch_power_dbm,scenario,display_name,band,channel_id,shaped,neural_nli,ase_var,nli_var,implementation_var,total_noise_var,gsnr_db,entropy_bits_per_symbol,ser,ber,gmi_bits_per_symbol,ngmi,net_rate_tbps,parameter_count,train_time_s,inference_time_s,residual_mse_before,residual_mse_after,residual_mse_improvement_percent
1,2.0,pcs_only,PCS only,O,0,True,False,0.0021114165977713633,0.008261594473235009,0.003223372925684375,0.013596383996690747,19.22511544832027,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.011016177406133941,0.011016177406133941,0.0
1,2.0,pcs_only,PCS only,E,0,True,False,0.001873155928629602,0.007343639531764453,0.003223372925684375,0.01244016838607843,19.594120045147882,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.010303291679452027,0.010303291679452027,0.0
1,2.0,pcs_only,PCS only,S,0,True,False,0.0015652147475806513,0.00550772964882334,0.003223372925684375,0.010296317322088366,20.39284522682025,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.008590690993377453,0.008590690993377453,0.0
1,2.0,pcs_only,PCS only,C,0,True,False,0.0013200000000000002,0.004042370384457496,0.003223372925684375,0.00858574331014187,21.0096851389048,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.007231306386009657,0.007231306386009657,0.0
1,2.0,pcs_only,PCS only,L,0,True,False,0.0014674858800117008,0.0036718197658822263,0.003223372925684375,0.008362678571578302,21.257273941815235,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.0071030894175046445,0.0071030894175046445,0.0
1,2.0,neural_only,Neural NLI only,O,0,False,True,0.0021114165977713633,0.009388175537767057,0.003223372925684375,0.014722965061222795,19.840273516883254,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.21771980000085023,0.001140599999416736,0.011871477252902416,0.010266734587840493,13.517632480570906
1,2.0,neural_only,Neural NLI only,E,0,False,True,0.001873155928629602,0.008345044922459606,0.003223372925684375,0.013441573776773583,20.209499527276982,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.2544459000000643,0.0017655999999988126,0.010767804519470235,0.009445203962478011,12.282917604983545
1,2.0,neural_only,Neural NLI only,S,0,False,True,0.0015652147475806513,0.006258783691844704,0.003223372925684375,0.011047371365109731,21.07642703495914,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.2566623000002437,0.0013555999994423473,0.00905901836629786,0.007889010421168607,12.915394337669273
1,2.0,neural_only,Neural NLI only,C,0,False,True,0.0013200000000000002,0.004593602709610792,0.003223372925684375,0.009136975635295166,21.715124005893728,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.23932149999927788,0.0008948000013333512,0.007842845985188194,0.006799309982816524,13.305578158011343
1,2.0,neural_only,Neural NLI only,L,0,False,True,0.0014674858800117008,0.004172522461229803,0.003223372925684375,0.008863381266925879,21.915109419464464,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.22632829999929527,0.0012920999997731997,0.007314120609183282,0.006452134073707517,11.785238192456028
1,2.0,proposed_pcs_neural,PCS + Neural NLI,O,0,True,True,0.0021114165977713633,0.008261594473235009,0.003223372925684375,0.013596383996690747,19.939780923185808,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.24665740000091319,0.0014601000002585351,0.010860096678798064,0.009470410058943824,12.796263799081053
1,2.0,proposed_pcs_neural,PCS + Neural NLI,E,0,True,True,0.001873155928629602,0.007343639531764453,0.003223372925684375,0.01244016838607843,20.28208443829657,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.24835429999984626,0.001220399999510846,0.010097452011177965,0.008812602404318717,12.72449332204707
1,2.0,proposed_pcs_neural,PCS + Neural NLI,S,0,True,True,0.0015652147475806513,0.00550772964882334,0.003223372925684375,0.010296317322088366,20.92512174568356,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.22908300000017334,0.001364899999316549,0.008910707528623238,0.007716142433671107,13.405951111232339
