launch_power_dbm,scenario,display_name,n_seeds,n_channels_per_seed,total_net_rate_tbps_mean,total_net_rate_tbps_std,total_net_rate_tbps_ci95,mean_gsnr_db_mean,mean_gsnr_db_std,mean_gsnr_db_ci95,mean_ber_mean,mean_ber_std,mean_ber_ci95,mean_ngmi_mean,mean_ngmi_std,mean_ngmi_ci95,mean_inference_time_ms_per_channel_mean,mean_inference_time_ms_per_channel_std,mean_inference_time_ms_per_channel_ci95,mean_residual_mse_improvement_percent_mean,mean_residual_mse_improvement_percent_std,mean_residual_mse_improvement_percent_ci95
-2.0,proposed_pcs_neural,PCS + Neural NLI,5,5,2.129354885190228,0.0,0.0,22.63430329658604,0.05529165228379462,0.04846527009317973,0.0,0.0,0.0,1.0,0.0,0.0,1.2677360000816407,0.16810669568400954,0.1473520156167478,6.7095431422228895,0.12844100623418803,0.11258350584694252
-2.0,uniform_baseline,Uniform baseline,5,5,2.1333333333333333,0.0,0.0,22.585045476211725,0.043326446269111134,0.03797730459984006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,neural_only,Neural NLI only,5,5,2.1333333333333333,0.0,0.0,22.202173340005494,0.030787299561041755,0.02698625790755841,0.0,0.0,0.0,1.0,0.0,0.0,1.3517160000628792,0.13924200180848814,0.12205099589583582,9.316929130775128,0.3054204271185103,0.26771280800757163
0.0,pcs_only,PCS only,5,5,2.129354885190228,0.0,0.0,21.68646633837249,0.041995858614465593,0.03681099309708276,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,proposed_pcs_neural,PCS + Neural NLI,5,5,2.129354885190228,0.0,0.0,22.055466402763194,0.05254228803086557,0.046055346070312475,0.0,0.0,0.0,1.0,0.0,0.0,1.3471160001063254,0.1404211190226015,0.12308453770356129,8.746859224415378,0.13502406071226916,0.11835380751347147
0.0,uniform_baseline,Uniform baseline,5,5,2.1333333333333333,0.0,0.0,21.834354674545683,0.04304647306216651,0.037731897263778194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,neural_only,Neural NLI only,5,5,2.1333333333333333,0.0,0.0,20.916412869385294,0.027721372069214167,0.024298853971520137,0.0,0.0,0.0,1.0,0.0,0.0,1.5266200000769459,0.255009419252396,0.22352561136963162,12.466761921092395,0.42247115716557637,0.37031229657444864
2.0,pcs_only,PCS only,5,5,2.129354885190228,0.0,0.0,20.35621892350063,0.04239539874808671,0.03716120546530109,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,proposed_pcs_neural,PCS + Neural NLI,5,5,2.129354885190228,0.0,0.0,20.87367682752721,0.05816494030754149,0.050983818090473074,0.0,0.0,0.0,1.0,0.0,0.0,1.2254120002035052,0.20128394005557126,0.17643315251535405,11.801637958353869,0.13486594782758618,0.11821521545942971
2.0,uniform_baseline,Uniform baseline,5,5,2.1333333333333333,0.0,0.0,20.392912264988674,0.043039518047522464,0.037725800924650985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,neural_only,Neural NLI only,5,5,2.1333333333333333,0.0,0.0,18.79766610206214,0.02231330252371995,0.019558472008257725,0.00029,3.3541019662496874e-05,2.9400000000000027e-05,1.0,0.0,0.0,1.330348000046797,0.10595410738065081,0.09287286994659137,15.5322897197567,0.48162628788660344,0.42216405483040886
4.0,pcs_only,PCS only,5,5,2.129354885190228,0.0,0.0,18.19782715738964,0.04229350393766629,0.03707189072602052,0.00016530828301481262,7.840860322588682e-05,6.872817099888574e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,proposed_pcs_neural,PCS + Neural NLI,5,5,2.129354885190228,0.0,0.0,18.87020576801616,0.06433064350796774,0.05638829523268759,0.00013525223155757402,3.360368709680864e-05,2.9454930428093894e-05,1.0,0.0,0.0,1.4695320001919754,0.16360394149683274,0.14340517755293614,14.879861154885779,0.24184330636367588,0.2119850045895348
