band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,n_seeds,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95,train_time_s_mean,train_time_s_std,train_time_s_ci95,inference_time_s_mean,inference_time_s_std,inference_time_s_ci95,parameter_count_mean,parameter_count_std,parameter_count_ci95
C,8,-2.0,0.0,False,evidence,Linear EQ,linear,5,3.8860459932675626,0.003385175233786982,0.0029672369198906023,0.9715114983168907,0.0008462938084467456,0.0007418092299726506,0.0072021484375,0.00018197167785642812,0.00015950520833333325,14.586437301268337,0.03996402078367285,0.03503000871359071,0.4145115726152067,0.0003610853582706363,0.00031650527145501934,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,8,-2.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.8361271408271214,0.011719610651501473,0.010272691665942453,0.9590317852067803,0.002929902662875368,0.002568172916485613,0.009415690104166667,0.0008247152382915519,0.0007228947792807402,14.730385969402084,0.0949869726723035,0.0832597525258967,0.4091868950215596,0.0012500918028268435,0.0010957537777005455,1.646456279999984,0.3582444209747089,0.31401508012092416,0.009908800000266638,0.007229768271801468,0.006337171300389148,7538.0,0.0,0.0
C,8,-2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.847043096196972,0.012413974042639168,0.010881328013461547,0.961760774049243,0.003103493510659792,0.0027203320033653867,0.00889485677083333,0.0006294484246533932,0.0005517358706152155,15.460160463760435,0.03077842525541259,0.026978479235707557,0.4103512635943437,0.0013241572312148533,0.0011606749881025728,0.006540380000660662,0.0020294480443426863,0.0017788896433100674,0.0,0.0,0.0,60.0,0.0,0.0
C,8,-2.0,0.0,False,evidence,Raw,raw,5,3.88606479223973,0.003418073659028556,0.002996073661046201,0.9715161980599325,0.000854518414757139,0.0007490184152615502,0.0072265625,0.0002145414441156262,0.00018805386718913686,14.586708553078022,0.03966925127952343,0.034771631851193675,0.4145135778389045,0.0003645945236296991,0.00031958119051158295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,8,0.0,0.0,False,evidence,DBP-like,dbp_like,5,3.8685051053075186,0.01139869664445796,0.009991398136347446,0.9671262763268796,0.00284967416111449,0.0024978495340868614,0.0082275390625,0.0005786012629509581,0.0005071663682836245,14.483637487716084,0.08570597502214658,0.07512459940114816,0.4126405445661353,0.0012158609754088483,0.0010657491345437268,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C,8,0.0,0.0,False,evidence,Linear EQ,linear,5,3.8612625938616163,0.012059443741133945,0.010570568502595872,0.9653156484654041,0.0030148609352834864,0.002642642125648968,0.0083740234375,0.0006694727888565715,0.0005868187726681057,14.384161599989913,0.08739051049700355,0.07660115984740588,0.41186801001190576,0.0012863406657209308,0.001127527306943539,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,8,0.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.8265915912050543,0.011289198015575342,0.009895418356318618,0.9566478978012636,0.0028222995038938354,0.0024738545890796546,0.009985351562499998,0.0007333255420617716,0.0006427881785813051,14.70404158580989,0.1197046219260126,0.10492572736421057,0.40816976972853924,0.0012041811216613758,0.0010555112913406578,1.7780094600006122,0.42348880506567804,0.37120430428810924,0.008085800001572352,0.0007153428310513253,0.000627025637399581,7538.0,0.0,0.0
C,8,0.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.83301853730502,0.015279484973674422,0.013393059088430456,0.958254634326255,0.0038198712434186054,0.003348264772107614,0.009765624999999998,0.0009778332389890885,0.0008571086244710526,15.339055126818419,0.10615678682411632,0.0930505263117778,0.40885531064586883,0.00162981173052528,0.0014285929694325891,0.005975740001304075,0.001635140434518233,0.0014332637844217944,0.0,0.0,0.0,60.0,0.0,0.0
C,8,0.0,0.0,False,evidence,Raw,raw,5,3.8612403009207603,0.01219496231318178,0.010689355768406435,0.9653100752301901,0.003048740578295445,0.0026723389421016088,0.008455403645833333,0.0006003686637670253,0.000526246336347563,14.384577670982093,0.08757854158037942,0.07676597635885593,0.41186563209821436,0.0013007959800727384,0.0011401979486300332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,8,2.0,0.0,False,evidence,DBP-like,dbp_like,5,3.7927184543247896,0.012092563930439948,0.010599599628524498,0.9481796135811974,0.003023140982609987,0.0026498999071311244,0.013053385416666669,0.0006085857703692789,0.0005334489478524356,13.823623781765594,0.03654239027005493,0.03203081733203453,0.4045566351279775,0.0012898734859135804,0.0011306239603759342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C,8,2.0,0.0,False,evidence,Linear EQ,linear,5,3.7757470752879825,0.012137914733296092,0.010639351359908546,0.9439367688219956,0.003034478683324023,0.0026598378399771364,0.013826497395833335,0.0006099445257341548,0.0005346399494418124,13.654351152139895,0.028075490728013183,0.02460925266164499,0.40274635469738485,0.0012947109048848928,0.0011348641450568907,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,8,2.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.7895904440156953,0.008911314353762646,0.007811111428242091,0.9473976110039238,0.0022278285884406615,0.0019527778570605228,0.01201171875,0.0007026557769558902,0.0006159049441660698,14.444266753876366,0.10994205802015167,0.09636846280515975,0.40422298069500745,0.000950540197734666,0.0008331852190124754,1.8384116000001085,0.4682419788562504,0.41043219069950526,0.0067775999996229075,0.0014469537544414372,0.00126831088645,7538.0,0.0,0.0
C,8,2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.767872529745918,0.012305130913298665,0.010785922804114596,0.9419681324364795,0.0030762827283246663,0.002696480701028649,0.013370768229166668,0.0006475993386176034,0.0005676458481864834,14.878103453408063,0.05522291941479708,0.04840502307717184,0.40190640317289794,0.0013125472974185352,0.0011504984324388998,0.006570399999327492,0.0026437656548550983,0.0023173627705674166,0.0,0.0,0.0,60.0,0.0,0.0
C,8,2.0,0.0,False,evidence,Raw,raw,5,3.775682473432674,0.012123652625567215,0.010626850071293941,0.9439206183581685,0.0030309131563918037,0.0026567125178234854,0.013802083333333331,0.0006266804462297672,0.0005493096305523472,13.654622559634538,0.0279766288318944,0.024522596388963393,0.4027394638328186,0.0012931896133938439,0.0011335306742713605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,8,4.0,0.0,False,evidence,DBP-like,dbp_like,5,3.5479961422440516,0.016560788571357295,0.014516171210570162,0.8869990355610129,0.004140197142839324,0.0036290428026425404,0.027115885416666662,0.0004590954657411572,0.0004024149184671881,12.383462574661833,0.05851639540964161,0.051291882070212395,0.3784529218393655,0.0017664841142781345,0.0015483915957941708,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C,8,4.0,0.0,False,evidence,Linear EQ,linear,5,3.5134652845141927,0.013796728289948119,0.01209336555078002,0.8783663211285482,0.0034491820724870297,0.003023341387695005,0.0294189453125,0.0005320921561939296,0.00046639933876527244,12.174760522076394,0.05877576421508792,0.05151922885205897,0.3747696303481806,0.0014716510175944756,0.0012899589920832106,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,8,4.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.6793507954416826,0.021169726404060233,0.018556083343383937,0.9198376988604207,0.005292431601015058,0.004639020835845984,0.01742350260416667,0.0011089079923094836,0.0009720007114259531,13.726966108063817,0.20691329122002045,0.18136749636954103,0.39246408484711287,0.002258104149766472,0.0019793155566276612,2.1436543599993456,0.5696275841658067,0.49930059202106086,0.008290560000750702,0.0030389165060939294,0.002663727763144294,7538.0,0.0,0.0
C,8,4.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.5611814853214137,0.02725749205385861,0.023892245210406577,0.8902953713303534,0.0068143730134646524,0.005973061302601644,0.0244873046875,0.001272956596118689,0.0011157956526806282,13.603329998218891,0.11517079884394928,0.10095165621330571,0.3798593584342841,0.0029074658190782446,0.0025485061557766952,0.006170180001936388,0.002282011953542575,0.0020002716706066094,0.0,0.0,0.0,60.0,0.0,0.0
C,8,4.0,0.0,False,evidence,Raw,raw,5,3.5145923081806116,0.01444665310311158,0.012663049767278983,0.8786480770451529,0.003611663275777895,0.0031657624418197456,0.029337565104166668,0.0004466654134134953,0.0003915194972155237,12.175445940370434,0.05886567274858499,0.05159803715638043,0.3748898462059319,0.0015409763309985846,0.001350725308509772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,8,6.0,0.0,False,evidence,DBP-like,dbp_like,5,2.931967970490357,0.006440835272054278,0.005645641036075152,0.7329919926225893,0.0016102088180135696,0.001411410259018788,0.06824544270833333,0.0011178305552868798,0.0009798216827075375,9.797372921902294,0.03146234248982236,0.02757795912314013,0.3127432501856381,0.0006870224290191335,0.0006022017105146921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
