scenario_group,spans,launch_power_dbm,pcs_nu,n_pairs,gmi_gain_mean,gmi_gain_std,gmi_gain_ci95,ngmi_gain_mean,ngmi_gain_std,ngmi_gain_ci95,symbol_entropy_delta_mean,symbol_entropy_delta_std,symbol_entropy_delta_ci95,ber_delta_mean,ber_delta_std,ber_delta_ci95,gsnr_delta_mean,gsnr_delta_std,gsnr_delta_ci95,aggregate_air_gain_mean,aggregate_air_gain_std,aggregate_air_gain_ci95,air_gain_mean,air_gain_std,air_gain_ci95,aggregate_rate_gain_mean,aggregate_rate_gain_std,aggregate_rate_gain_ci95,rate_gain_mean,rate_gain_std,rate_gain_ci95
C,6,2.0,0.36,7,0.007374342459967804,0.008069012380037916,0.005977608023374884,0.009245683528533246,0.0020172530950094787,0.0014944020058437206,-0.029608391654165178,0.0,0.0,-0.0022103445870535715,0.0007772216938385154,0.0005757738883291064,-0.10189001898504786,0.05305504204934363,0.03930372517697861,0.0009439158348758922,0.001032833584644867,0.0007651338269919952,0.0009439158348758922,0.001032833584644867,0.0007651338269919952,0.0009439158348758922,0.001032833584644867,0.0007651338269919952,0.0009439158348758922,0.001032833584644867,0.0007651338269919952
C,6,4.0,0.12,7,0.012900975389658,0.01338120472671679,0.009912935185813699,0.004055279867106283,0.0033453011816791975,0.0024782337964534247,-0.003320144078767129,0.0,0.0,-0.0011771065848214285,0.000911595211001672,0.0006753191829070053,-0.07812092431592177,0.06859704483452773,0.05081740196571031,0.0016513248498762425,0.001712794205019757,0.0012688557037841594,0.0016513248498762425,0.001712794205019757,0.0012688557037841594,0.0016513248498762425,0.001712794205019757,0.0012688557037841594,0.0016513248498762425,0.001712794205019757,0.0012688557037841594
C,6,4.0,0.16,7,0.013762188560077921,0.008752300282863647,0.006483794785500894,0.004914846809374786,0.0021880750707159117,0.0016209486963752234,-0.005897198677421223,0.0,0.0,-0.0012425013950892857,0.0006485049463804671,0.000480419187393038,-0.10347904615125156,0.04461366076034684,0.03305026240546199,0.0017615601356899704,0.0011202944362065357,0.0008299257325441061,0.0017615601356899704,0.0011202944362065357,0.0008299257325441061,0.0017615601356899704,0.0011202944362065357,0.0008299257325441061,0.0017615601356899704,0.0011202944362065357,0.0008299257325441061
C,6,4.0,0.2,7,0.022353652568972038,0.011064150746243246,0.008196437575953014,0.007889359562828213,0.0027660376865608115,0.0020491093939882534,-0.009203785682340815,0.0,0.0,-0.002227783203125,0.0004898681285739953,0.0003628993881585535,-0.09275078121148438,0.02802024109140423,0.02075768508910002,0.002861267528828442,0.0014162112955191355,0.0010491440097219857,0.002861267528828442,0.0014162112955191355,0.0010491440097219857,0.002861267528828442,0.0014162112955191355,0.0010491440097219857,0.002861267528828442,0.0014162112955191355,0.0010491440097219857
C,6,4.0,0.24,7,0.025744088207519944,0.016111500775507503,0.011935566804004798,0.00974473706824186,0.004027875193876876,0.0029838917010011996,-0.013234860065447496,0.0,0.0,-0.002532958984375,0.001106516490957613,0.0008197188878663945,-0.1409598548780944,0.09916938327734529,0.07346570723058088,0.003295243290562561,0.0020622720992649678,0.0015277525509126196,0.003295243290562561,0.0020622720992649678,0.0015277525509126196,0.003295243290562561,0.0020622720992649678,0.0015277525509126196,0.003295243290562561,0.0020622720992649678,0.0015277525509126196
C,6,4.0,0.28,7,0.011719122610178647,0.008782201577864301,0.006505945974827038,0.007425853305883174,0.0021955503944660754,0.0016264864937067594,-0.017984290613354048,0.0,0.0,-0.0019444056919642857,0.000802543508719401,0.0005945325513066049,-0.1942136355538889,0.04796520253223564,0.0355331192958395,0.0015000476941028748,0.0011241218019666427,0.0008327610847778698,0.0015000476941028748,0.0011241218019666427,0.0008327610847778698,0.0015000476941028748,0.0011241218019666427,0.0008327610847778698,0.0015000476941028748,0.0011241218019666427,0.0008327610847778698
C,6,4.0,0.32,7,0.013439861265041486,0.012136589617975639,0.008990911410211345,0.009221185455417391,0.0030341474044939098,0.002247727852552836,-0.023444880556628078,0.0,0.0,-0.002506801060267857,0.0006619404029137125,0.0004903723128795619,-0.22970891408124242,0.0595949458007666,0.044148553675856406,0.0017203022419253358,0.0015534834711008895,0.0011508366605070576,0.0017203022419253358,0.0015534834711008895,0.0011508366605070576,0.0017203022419253358,0.0015534834711008895,0.0011508366605070576,0.0017203022419253358,0.0015534834711008895,0.0011508366605070576
C,6,4.0,0.36,7,0.016570853166778057,0.019261604991946336,0.014269196664982078,0.011544811205235808,0.004815401247986584,0.0035672991662455194,-0.029608391654165178,0.0,0.0,-0.0029471261160714285,0.0011523982135996406,0.0008537085436599275,-0.20941280525370612,0.09432444252023882,0.06987652488974036,0.0021210692053476032,0.0024654854389691274,0.0018264571731177034,0.0021210692053476032,0.0024654854389691274,0.0018264571731177034,0.0021210692053476032,0.0024654854389691274,0.0018264571731177034,0.0021210692053476032,0.0024654854389691274,0.0018264571731177034
C,6,6.0,0.12,7,-0.0004070185113330841,0.014864760965066327,0.011011969027356074,0.0007282813918585111,0.0037161902412665817,0.0027529922568390185,-0.003320144078767129,0.0,0.0,-0.0009678431919642857,0.0011864908742052506,0.0008789647400785198,-0.18912669008600222,0.07438847308086638,0.05510775205090266,-5.20983694506451e-05,0.0019026894035284747,0.0014095320355015663,-5.20983694506451e-05,0.0019026894035284747,0.0014095320355015663,-5.20983694506451e-05,0.0019026894035284747,0.0014095320355015663,-5.20983694506451e-05,0.0019026894035284747,0.0014095320355015663
C,6,6.0,0.16,7,0.010146849960171154,0.03117867120249648,0.02309748285915192,0.004011012159398094,0.00779466780062412,0.00577437071478798,-0.005897198677421223,0.0,0.0,-0.0017569405691964285,0.0026543192965941508,0.0019663472525054443,-0.17930452657392287,0.10895945661614473,0.08071829505461407,0.0012987967949018972,0.003990869913919579,0.002956477805971468,0.0012987967949018972,0.003990869913919579,0.002956477805971468,0.0012987967949018972,0.003990869913919579,0.002956477805971468,0.0012987967949018972,0.003990869913919579,0.002956477805971468
