seed,scenario_group,band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,gmi,ngmi,ber,gsnr_db,rate_tbps
4,C+S,S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.5551940350713322,0.8887985087678331,0.0294189453125,12.10941293059839,0.37922069707427547
4,C+S,S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.6466173058387423,0.9116543264596856,0.02197265625,11.949822480473436,0.3889725126227992
5,C+S,C,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.6151919048635284,0.9037979762158821,0.02362060546875,12.426732575928993,0.3856204698521097
5,C+S,C,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.7076867667403084,0.9269216916850771,0.017730712890625,12.464678563282913,0.39548658845229956
5,C+S,S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.545188287899272,0.886297071974818,0.0291748046875,12.075346077776434,0.37815341737592234
5,C+S,S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.642816769210883,0.9107041923027207,0.022552490234375,11.994934836869717,0.38856712204916083
6,C+S,C,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.647960601234643,0.9119901503086607,0.02142333984375,12.611051944389114,0.3891157974650286
6,C+S,C,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.6826419142900546,0.9206604785725137,0.018829345703125,12.366554181505954,0.3928151375242725
6,C+S,S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.545703645856147,0.8864259114640367,0.02960205078125,12.061520363146297,0.3782083888913223
6,C+S,S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.616766255512439,0.9041915638781097,0.0240478515625,11.907536984392813,0.38578840058799346
7,C+S,C,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.6370046859704432,0.9092511714926108,0.022216796875,12.654686035167769,0.38794716650351396
7,C+S,C,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.7011881782490215,0.9252970445622554,0.018218994140625,12.42924735136175,0.3947934056798956
7,C+S,S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.5374312694977106,0.8843578173744276,0.031280517578125,12.064276646403137,0.3773260020797558
7,C+S,S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.640451665868492,0.910112916467123,0.022857666015625,12.01485622626287,0.38831484435930586
