spans,launch_power_dbm,band,pcs_nu,scenario,display_name,n_seeds,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95,score_mean,score_std,score_ci95
8,-2.0,S,0.0,neural_residual,Neural residual,3,0.0012112775671720237,0.0017366000122132903,0.0019651479096710594,0.00030281939179300593,0.0004341500030533226,0.0004912869774177648,0.4932657877604167,0.0007281709866606967,0.0008240030417226721,-0.011212104013148039,0.001924795939083651,0.0021781116489874874,0.00012920294049834918,0.0001852373346360843,0.00020961577703157964,-9.865747157468492,0.014658745486966348,0.016587932079649176
8,-2.0,S,0.0,pcs_neural,PCS + Neural,3,0.0012112775671720237,0.0017366000122132903,0.0019651479096710594,0.00030281939179300593,0.0004341500030533226,0.0004912869774177648,0.4932657877604167,0.0007281709866606967,0.0008240030417226721,-0.011212104013148039,0.001924795939083651,0.0021781116489874874,0.00012920294049834918,0.0001852373346360843,0.00020961577703157964,-9.865747157468492,0.014658745486966348,0.016587932079649176
8,-2.0,S,0.0,pcs_raw,PCS raw,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4847819010416667,0.0015517020642633742,0.0017559161848289318,-3.0125295624543558,0.07789860931238249,0.08815057478976299,0.0,0.0,0.0,-9.846264498956051,0.03410551645201609,0.03859402504466849
8,-2.0,S,0.0,poly_nlc,Polynomial NLC,3,0.0029850280943067484,0.0020560025243929925,0.0023265858773891747,0.0007462570235766871,0.0005140006310982481,0.0005816464693472937,0.49224853515625,0.0005214846035960407,0.0005901153814782621,-0.010423259228700467,0.022975333570989947,0.025999037442987684,0.00031840299672605317,0.00021930693593525253,0.0002481691602548453,-9.845173463089708,0.0111682980105568,0.012638118931058465
8,-2.0,S,0.0,uniform_raw,Uniform raw,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4847819010416667,0.0015517020642633742,0.0017559161848289318,-3.0125295624543558,0.07789860931238249,0.08815057478976299,0.0,0.0,0.0,-9.846264498956051,0.03410551645201609,0.03859402504466849
8,-2.0,S,0.08,pcs_neural,PCS + Neural,3,0.004626733418772992,0.002574317478022162,0.002913114462274681,0.001156683354693248,0.0006435793695055404,0.0007282786155686702,0.4847615559895833,0.004114481848257902,0.004655974517228357,0.011075037901894695,0.016912603596195667,0.019138412628363567,0.0004935182313357858,0.00027459386432236396,0.0003107322093092993,-9.694183849665237,0.08314044579526556,0.09408227117046644
8,-2.0,S,0.08,pcs_raw,PCS raw,3,0.0010111981476422411,0.0017514465682358967,0.001981948369378793,0.0002527995369105603,0.0004378616420589742,0.0004954870923446983,0.4812418619791667,0.0027515507718207616,0.003113672814447293,-3.073032189779197,0.0303266188261096,0.03431779982401648,0.00010786113574850574,0.00018682096727849567,0.00021140782606707126,-9.778380987936545,0.054869521658783754,0.06209070887600941
8,-2.0,S,0.16,pcs_neural,PCS + Neural,3,0.0018354976352082941,0.0019895688148752057,0.00225140905804539,0.00045887440880207353,0.0004973922037188014,0.0005628522645113475,0.4786580403645833,0.00132649115500513,0.001501066049822944,-0.004574447363962758,0.02132296186700746,0.024129202836720293,0.00019578641442221802,0.00021222067358668854,0.00024015029952484154,-9.573193743245442,0.027784107186721436,0.03144067705635619
8,-2.0,S,0.16,pcs_raw,PCS raw,3,0.00261285127013422,0.002666096855832566,0.003016972605305072,0.000653212817533555,0.0006665242139581415,0.000754243151326268,0.479248046875,0.0016251863959587827,0.0018390715342526372,-3.0789849812462613,0.008409830633588551,0.009516619241077362,0.0002787041354809834,0.00028438366462214034,0.0003218104112325409,-9.738631482426833,0.032602128903628735,0.036892781881383264
8,-2.0,S,0.24,pcs_neural,PCS + Neural,3,0.002523047751945192,0.0014589612337498937,0.0016509700556437503,0.000630761937986298,0.00036474030843747343,0.0004127425139109376,0.46783447265625,0.0008653226854710587,0.000979204799369507,0.0018920305865495497,0.010136966402264642,0.01147105735098282,0.0002691250935408205,0.00015562253159998867,0.00017610347260200003,-9.356325726502133,0.017959180989079466,0.02032272643780167
8,-2.0,S,0.24,pcs_raw,PCS raw,3,0.006017971253021022,0.0019885098057277587,0.002250210676381339,0.0015044928132552555,0.0004971274514319397,0.0005625526690953347,0.4739990234375,0.0022780099617335844,0.0025778109426621266,-3.136219302559685,0.02262579147816459,0.025603493329071466,0.0006419169336555757,0.00021210771261096094,0.00024002247214734282,-9.636149516944329,0.046316573287777454,0.052412136669053117
