seed,regime,launch_power_dbm,band,spans,display_name,scenario,gmi,ngmi,ber,gsnr_db,rate_tbps
1,medium,0.0,C,6,DBP-like,dbp_like,3.999999022888775,0.9999997557221938,0.0,20.079360344025943,0.4266665624414694
1,medium,0.0,C,6,Polynomial NLC,poly_nlc,3.9999618335783604,0.9999904583945901,0.0,20.905712774155955,0.42666259558169184
1,medium,0.0,C,6,Neural residual,neural_residual,3.999999999724181,0.9999999999310453,0.0,24.857652305478485,0.426666666637246
1,medium,2.0,C,6,Raw,raw,3.9998639189813177,0.9999659797453294,2.777777777777778e-05,20.088206204250604,0.4266521513580072
1,medium,2.0,C,6,Linear EQ,linear,3.999859526801873,0.9999648817004683,2.777777777777778e-05,20.08823701668375,0.4266516828588665
1,medium,2.0,C,6,DBP-like,dbp_like,3.999925117003934,0.9999812792509835,0.0,20.096808145753702,0.42665867914708633
1,medium,2.0,C,6,Polynomial NLC,poly_nlc,3.999139293802934,0.9997848234507335,2.777777777777778e-05,20.889618587927636,0.4265748580056463
1,medium,2.0,C,6,Neural residual,neural_residual,3.9978055951238245,0.9994513987809561,2.777777777777778e-05,25.27414644086152,0.42643259681320794
1,medium,4.0,C,6,Raw,raw,3.9999737294477287,0.9999934323619322,0.0,19.66708998512299,0.4266638644744244
1,medium,4.0,C,6,Linear EQ,linear,3.999976628406645,0.9999941571016613,0.0,19.667715607677923,0.42666417369670884
1,medium,4.0,C,6,DBP-like,dbp_like,3.999986580026544,0.999996645006636,0.0,19.98752741809937,0.42666523520283134
1,medium,4.0,C,6,Polynomial NLC,poly_nlc,3.9996928324891536,0.9999232081222884,2.777777777777778e-05,20.76834383472354,0.42663390213217645
1,medium,4.0,C,6,Neural residual,neural_residual,3.9986118672437216,0.9996529668109304,2.777777777777778e-05,23.70045734987722,0.42651859917266366
1,hard,-2.0,C,6,Raw,raw,3.9091806933804274,0.9772951733451068,0.005361111111111111,15.027256400424285,0.41697927396057893
1,hard,-2.0,C,6,Linear EQ,linear,3.9101087468893048,0.9775271867223262,0.00525,15.028054052783908,0.41707826633485917
1,hard,-2.0,C,6,DBP-like,dbp_like,3.911396439048591,0.9778491097621478,0.005611111111111111,15.054902766773978,0.41721562016518304
1,hard,-2.0,C,6,Polynomial NLC,poly_nlc,3.867439769050125,0.9668599422625312,0.007361111111111111,15.90912212029748,0.41252690869868003
1,hard,-2.0,C,6,Neural residual,neural_residual,3.810591958663491,0.9526479896658727,0.005527777777777778,18.33325408059696,0.406463142257439
1,hard,0.0,C,6,Raw,raw,3.915455094581854,0.9788637736454635,0.00525,14.9201869200663,0.4176485434220645
1,hard,0.0,C,6,Linear EQ,linear,3.915364042612466,0.9788410106531165,0.00525,14.920335194440167,0.4176388312119964
1,hard,0.0,C,6,DBP-like,dbp_like,3.9197881775360894,0.9799470443840224,0.004944444444444444,15.04304116699827,0.41811073893718287
1,hard,0.0,C,6,Polynomial NLC,poly_nlc,3.878407408737009,0.9696018521842522,0.006888888888888889,15.903112494585008,0.413696790265281
1,hard,0.0,C,6,Neural residual,neural_residual,3.826921605211276,0.956730401302819,0.005138888888888889,18.20506100833682,0.4082049712225361
1,hard,2.0,C,6,Raw,raw,3.874035162611724,0.968508790652931,0.00825,14.513008112361474,0.4132304173452506
1,hard,2.0,C,6,Linear EQ,linear,3.8743286631898783,0.9685821657974696,0.008222222222222223,14.51315241377313,0.413261724073587
1,hard,2.0,C,6,DBP-like,dbp_like,3.891054434702281,0.9727636086755702,0.0069722222222222225,14.788084303993914,0.41504580636824334
1,hard,2.0,C,6,Polynomial NLC,poly_nlc,3.865074211483069,0.9662685528707673,0.007694444444444445,15.780324296723801,0.41227458255819405
1,hard,2.0,C,6,Neural residual,neural_residual,3.783201007351378,0.9458002518378446,0.005861111111111111,18.07525622944275,0.40354144078414705
1,hard,4.0,C,6,Raw,raw,3.7716071226010275,0.9429017806502569,0.013777777777777778,13.615230859598245,0.4023047597441096
1,hard,4.0,C,6,Linear EQ,linear,3.772868991919545,0.9432172479798863,0.01361111111111111,13.61600322948983,0.4024393591380848
1,hard,4.0,C,6,DBP-like,dbp_like,3.814648837389532,0.953662209347383,0.011,14.02968760126834,0.4068958759882168
1,hard,4.0,C,6,Polynomial NLC,poly_nlc,3.8163908038090044,0.9540977009522511,0.010166666666666666,15.394888678778658,0.40708168573962716
1,hard,4.0,C,6,Neural residual,neural_residual,3.7631941554227524,0.9407985388556881,0.008305555555555556,16.844004751257263,0.40140737657842696
2,easy,-2.0,C,6,Raw,raw,4.0,1.0,0.0,27.157226520276204,0.4266666666666667
2,easy,-2.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.16977998701612,0.4266666666666667
2,easy,-2.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.36722999988622,0.4266666666666667
