seed,scenario_group,band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,symbol_entropy_bits,conditional_bit_entropy_sum,bmd_gmi_bits_per_symbol,gmi,ngmi,ber,gsnr_db,air_tbps,rate_tbps
1,C,C,8,4.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.970391608345835,0.4339373536645842,3.5364542546812507,3.5364542546812507,0.891515661583854,0.0255126953125,11.89891139521784,0.45266614459920007,0.45266614459920007
1,C,C,8,6.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,4.0,1.1325614728429723,2.8674385271570277,2.8674385271570277,0.7168596317892569,0.07220458984375,9.566588070279714,0.36703213147609953,0.36703213147609953
1,C,C,8,6.0,0.12,True,q3_evidence,PCS raw,pcs_raw,3.996679855921233,1.0920679011151553,2.904611954806078,2.904611954806078,0.7269830247212112,0.068939208984375,9.491061869153278,0.371790330215178,0.371790330215178
1,C,C,8,6.0,0.16,True,q3_evidence,PCS raw,pcs_raw,3.9941028013225788,1.087535375324239,2.9065674259983396,2.9065674259983396,0.7281161561689402,0.066619873046875,9.479451274609627,0.37204063052778746,0.37204063052778746
1,C,C,8,6.0,0.2,True,q3_evidence,PCS raw,pcs_raw,3.990796214317659,1.1184541881050967,2.8723420262125625,2.8723420262125625,0.7203864529737258,0.068511962890625,9.326176694831048,0.367659779355208,0.367659779355208
1,C,C,8,6.0,0.24,True,q3_evidence,PCS raw,pcs_raw,3.9867651399345525,1.1087604356444134,2.878004704290139,2.878004704290139,0.7228098910888966,0.068023681640625,9.275378346302753,0.36838460214913776,0.36838460214913776
1,C,C,8,6.0,0.28,True,q3_evidence,PCS raw,pcs_raw,3.982015709386646,1.0955263186800919,2.8864893907065543,2.8864893907065543,0.7261184203299771,0.067230224609375,9.28618953245018,0.36947064201043894,0.36947064201043894
1,C,C,8,6.0,0.32,True,q3_evidence,PCS raw,pcs_raw,3.976555119443372,1.1007126451107097,2.8758424743326625,2.8758424743326625,0.7248218387223226,0.068023681640625,9.207626926770345,0.3681078367145808,0.3681078367145808
1,C,C,8,6.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.970391608345835,1.1357407254506768,2.8346508828951578,2.8346508828951578,0.7160648186373307,0.068084716796875,9.071965498034988,0.3628353130105802,0.3628353130105802
1,C,C,10,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,4.0,0.15068780432559098,3.849312195674409,3.849312195674409,0.9623280489186022,0.0091552734375,14.35180299169634,0.49271196104632436,0.49271196104632436
