seed,spans,launch_power_dbm,pcs_nu,scenario,display_name,band,channel_id,shaped,neural_nli,ase_var,nli_var,implementation_var,total_noise_var,gsnr_db,entropy_bits_per_symbol,ser,ber,gmi_bits_per_symbol,ngmi,net_rate_tbps,parameter_count,train_time_s,inference_time_s,residual_mse_before,residual_mse_after,residual_mse_improvement_percent,score
2,10,2.0,0.24,pcs_only,PCS only,E,1,True,False,0.010406421825720012,0.07469171831452735,0.005157396681095,0.09025553682134235,11.583354089634133,3.9867651399345525,0.11457142857142857,0.028737942805757904,3.940803861833678,0.9884715360730708,0.42035241192892564,0,0.0,0.0,0.06452783343247566,0.06452783343247566,0.0,0.45261743342792243
2,10,2.0,0.24,pcs_only,PCS only,E,2,True,False,0.010406421825720012,0.07935995070918532,0.005157396681095,0.09492376921600032,11.347061495035165,3.9867651399345525,0.11857142857142858,0.029741262504712044,3.867538247700173,0.9700943275940411,0.4125374130880185,0,0.0,0.0,0.06714701918845074,0.06714701918845074,0.0,0.42030093531874446
2,10,2.0,0.24,pcs_only,PCS only,S,0,True,False,0.008695637486559174,0.05951996303188899,0.005157396681095,0.07337299719954316,12.452176128439497,3.9867651399345525,0.072,0.01805975458117454,3.9867651399345525,1.0,0.42525494825968563,0,0.0,0.0,0.052503190452635164,0.052503190452635164,0.0,0.6524456746796474
2,10,2.0,0.24,pcs_only,PCS only,S,1,True,False,0.008695637486559174,0.05601878873589552,0.005157396681095,0.06987182290354968,12.6102667137595,3.9867651399345525,0.07028571428571428,0.01762976042447991,3.9867651399345525,1.0,0.42525494825968563,0,0.0,0.0,0.05048850820071321,0.05048850820071321,0.0,0.6652192104428669
2,10,2.0,0.24,pcs_only,PCS only,S,2,True,False,0.008695637486559174,0.05951996303188899,0.005157396681095,0.07337299719954316,12.41963016668893,3.9867651399345525,0.07171428571428572,0.017988088888392106,3.9867651399345525,1.0,0.42525494825968563,0,0.0,0.0,0.05292431372075353,0.05292431372075353,0.0,0.6522188216013614
2,10,2.0,0.24,pcs_only,PCS only,C,0,True,False,0.007333333333333334,0.043684376537166225,0.005157396681095,0.05617510655159456,13.618294776556972,3.9867651399345525,0.03685714285714286,0.009244874368934588,3.9867651399345525,1.0,0.42525494825968563,0,0.0,0.0,0.0405271599361677,0.0405271599361677,0.0,0.8313136237879457
2,10,2.0,0.24,pcs_only,PCS only,C,1,True,False,0.007333333333333334,0.041114707329097624,0.005157396681095,0.053605437343525957,13.708626257764145,3.9867651399345525,0.03,0.007524897742156059,3.9867651399345525,1.0,0.42525494825968563,0,0.0,0.0,0.03957614506675845,0.03957614506675845,0.0,0.8607265324379106
2,10,2.0,0.24,pcs_only,PCS only,C,2,True,False,0.007333333333333334,0.043684376537166225,0.005157396681095,0.05617510655159456,13.546345906226083,3.9867651399345525,0.038857142857142854,0.009746534218411656,3.9867651399345525,1.0,0.42525494825968563,0,0.0,0.0,0.04109304240151118,0.04109304240151118,0.0,0.8209107712325541
2,10,2.0,0.24,pcs_only,PCS only,L,0,True,False,0.008152699333398338,0.03967997535459266,0.005157396681095,0.052990071369086,13.59595931490999,3.9867651399345525,0.033428571428571426,0.008384886055545323,3.9867651399345525,1.0,0.42525494825968563,0,0.0,0.0,0.04015689122861566,0.04015689122861566,0.0,0.8433200300229053
2,10,2.0,0.24,pcs_only,PCS only,L,1,True,False,0.008152699333398338,0.037345859157263676,0.005157396681095,0.050655955171757014,13.850267978412447,3.9867651399345525,0.031714285714285716,0.007954891898850692,3.9867651399345525,1.0,0.42525494825968563,0,0.0,0.0,0.03730782983267535,0.03730782983267535,0.0,0.8599422889134231
