seed,pcs_nu,shaped,display_name,scenario,band,spans,launch_power_dbm,stress_name,gmi,ngmi,ber,gsnr_db,rate_tbps,train_time_s,inference_time_s,parameter_count
2,0.0,False,Uniform raw,uniform_raw,C,10,4.0,evidence,3.2186796340710044,0.8046699085177511,0.0462646484375,10.840427534540728,0.34332582763424047,0.0,0.0,0
2,0.0,False,Uniform + Memory neural,uniform_memory_neural,C,10,4.0,evidence,3.5740864914338317,0.8935216228584579,0.022216796875,13.189497885575888,0.3812358924196087,2.936328899995715,0.010751800000434741,7538
2,0.12,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1841883850321153,0.7960470962580288,0.04742431640625,10.495486834779014,0.33964676107009234,0.0,0.0,0
2,0.16,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.190538396770193,0.7976345991925482,0.046905517578125,10.536962325143321,0.34032409565548727,0.0,0.0,0
2,0.2,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.205532033677869,0.8013830084194673,0.045318603515625,10.597735975370357,0.3419234169256394,0.0,0.0,0
2,0.2,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5796096482723185,0.8949024120680796,0.023590087890625,12.905853776371831,0.3818250291490473,2.3649268000008306,0.011323899998387787,7538
2,0.24,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2341413495805797,0.8085353373951449,0.04412841796875,10.518060634402623,0.3449750772885952,0.0,0.0,0
2,0.24,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.579313364793005,0.8948283411982513,0.02288818359375,12.559590351237077,0.3817934255779205,1.5132268000015756,0.01030269999318989,7538
2,0.28,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.24112483091783,0.8102812077294576,0.0460205078125,10.57427733345126,0.34571998196456855,0.0,0.0,0
2,0.28,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5797642579192233,0.8949410644798058,0.023773193359375,12.652054510438951,0.3818415208447172,1.6747255000009318,0.010985100001562387,7538
