seed,band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,gmi,ngmi,ber,gsnr_db,rate_tbps,parameter_count,train_time_s,inference_time_s,residual_mse_before,residual_mse_after
5,L,6,0.0,0.0,False,evidence,Raw,raw,3.839031282738908,0.959757820684727,0.010172526041666666,14.120656024480427,0.4094966701588169,0,0.0,0.0,0.0,0.0
5,L,6,0.0,0.0,False,evidence,Linear EQ,linear,3.8388368769071053,0.9597092192267763,0.0101318359375,14.120586581307569,0.40947593353675793,2,0.0,0.0,0.03910323013836457,0.03910323013836457
5,L,6,0.0,0.0,False,evidence,DBP-like,dbp_like,3.8451529405143425,0.9612882351285856,0.0098876953125,14.183754254318169,0.41014964698819656,1,0.0,0.0,0.038719915205122024,0.038161424216301344
5,L,6,0.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.805981654536853,0.9514954136342133,0.012125651041666666,15.027678233759632,0.40597137648393106,60,0.009368199993332382,0.0,0.03910323013836457,0.031225664087332666
5,L,6,0.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.789827238802517,0.9474568097006293,0.012654622395833334,14.479261485485903,0.4042482388056018,7538,1.8910974000027636,0.009216099999321159,0.038719915205122024,0.03565117528285373
5,L,6,2.0,0.0,False,evidence,Raw,raw,3.7892595670590388,0.9473148917647597,0.013631184895833334,13.699190071348383,0.4041876871529641,0,0.0,0.0,0.0,0.0
5,L,6,2.0,0.0,False,evidence,Linear EQ,linear,3.7896789322233166,0.9474197330558292,0.0137939453125,13.698639706236007,0.4042324194371538,2,0.0,0.0,0.04309698544928384,0.04309698544928384
5,L,6,2.0,0.0,False,evidence,DBP-like,dbp_like,3.8032825400475816,0.9508206350118954,0.012451171875,13.827389829742833,0.40568347093840873,1,0.0,0.0,0.04266590802990178,0.04142485691710317
5,L,6,2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.7698027058431927,0.9424506764607982,0.0135498046875,14.848978598057034,0.40211228862327386,60,0.006612800003495067,0.0,0.04309698544928384,0.032769132469026414
5,L,6,2.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.783723233928902,0.9459308084822255,0.013427734375,14.054640325699147,0.4035971449524163,7538,1.5645767000023625,0.01036779999412829,0.04266590802990178,0.03931298018100948
5,L,6,4.0,0.0,False,evidence,Raw,raw,3.7043128562422405,0.9260782140605601,0.018473307291666668,13.051836463895427,0.395126704665839,0,0.0,0.0,0.0,0.0
5,L,6,4.0,0.0,False,evidence,Linear EQ,linear,3.703770412212885,0.9259426030532213,0.018391927083333332,13.051181740162367,0.3950688439693745,2,0.0,0.0,0.049326059072719246,0.049326059072719246
5,L,6,4.0,0.0,False,evidence,DBP-like,dbp_like,3.7271033574292884,0.9317758393573221,0.0172119140625,13.235817848907764,0.39755769145912406,1,0.0,0.0,0.049524072831410804,0.047469888880975364
5,L,6,4.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.7262255427442055,0.9315563856860514,0.016805013020833332,14.27875211449246,0.3974640578927153,60,0.00854550000076415,0.0,0.049326059072719246,0.037288057979837544
5,L,6,4.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.760700165252741,0.9401750413131853,0.013468424479166666,14.099320444869361,0.4011413509602924,7538,1.9432030999960261,0.009192299999995157,0.049524072831410804,0.03891060249548727
5,L,6,6.0,0.0,False,evidence,Raw,raw,3.363968357715942,0.8409920894289855,0.039794921875,11.428548325932546,0.3588232914897005,0,0.0,0.0,0.0,0.0
5,L,6,6.0,0.0,False,evidence,Linear EQ,linear,3.3666266724655296,0.8416566681163824,0.0400390625,11.426954292312058,0.3591068450629898,2,0.0,0.0,0.07125389059315931,0.07125389059315931
5,L,6,6.0,0.0,False,evidence,DBP-like,dbp_like,3.4005215753589955,0.8501303938397489,0.037068684895833336,11.638874045417607,0.3627223013716262,1,0.0,0.0,0.0719689501436264,0.0685665969597681
5,L,6,6.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.431623609505331,0.8579059023763328,0.032430013020833336,12.854469751383897,0.3660398516805687,60,0.011031300004106015,0.0,0.07125389059315931,0.0498269441193941
5,L,6,6.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.5040778823991836,0.8760194705997959,0.029988606770833332,12.48304379810622,0.37376830745591294,7538,1.4916968000034103,0.010940399995888583,0.0719689501436264,0.056454117156755766
5,L,8,-2.0,0.0,False,evidence,Raw,raw,3.8420270442216347,0.9605067610554087,0.010091145833333334,14.082683819164686,0.4098162180503077,0,0.0,0.0,0.0,0.0
5,L,8,-2.0,0.0,False,evidence,Linear EQ,linear,3.8418795772445216,0.9604698943111304,0.010091145833333334,14.082655623374782,0.4098004882394157,2,0.0,0.0,0.039448472874656616,0.039448472874656616
5,L,8,-2.0,0.0,False,evidence,DBP-like,dbp_like,3.846544952301752,0.961636238075438,0.009928385416666666,14.121840866751223,0.41029812824552025,1,0.0,0.0,0.03905994415978183,0.038709353078119214
5,L,8,-2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.8073330113400337,0.9518332528350084,0.0113525390625,14.934693106847918,0.4061155212096036,60,0.007424000003084075,0.0,0.039448472874656616,0.03253126993549821
5,L,8,-2.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.7993218056466285,0.9498304514116571,0.01220703125,14.189384919115058,0.4052609926023071,7538,1.8701166000028024,0.008723200000531506,0.03905994415978183,0.03811197966566652
5,L,8,0.0,0.0,False,evidence,Raw,raw,3.7963918574766264,0.9490979643691566,0.01318359375,13.864692741349657,0.40494846479750685,0,0.0,0.0,0.0,0.0
5,L,8,0.0,0.0,False,evidence,Linear EQ,linear,3.7965319171355008,0.9491329792838752,0.013142903645833334,13.864487092075388,0.40496340449445345,2,0.0,0.0,0.04195414726458751,0.04195414726458751
5,L,8,0.0,0.0,False,evidence,DBP-like,dbp_like,3.8031680404294947,0.9507920101073737,0.0120849609375,13.933596209489586,0.4056712576458128,1,0.0,0.0,0.041070569583089495,0.04042410181264617
5,L,8,0.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.766343688293248,0.941585922073312,0.014119466145833334,14.775576262800623,0.40174332675127983,60,0.009715899999719113,0.0,0.04195414726458751,0.03387722336212142
5,L,8,0.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.7844027432524228,0.9461006858131057,0.012613932291666666,14.249609690232234,0.4036696259469251,7538,1.8063942000007955,0.006403599996701814,0.041070569583089495,0.03758711831201133
5,L,8,2.0,0.0,False,evidence,Raw,raw,3.721756700681617,0.9304391751704042,0.017252604166666668,13.239375150278125,0.3969873814060391,0,0.0,0.0,0.0,0.0
5,L,8,2.0,0.0,False,evidence,Linear EQ,linear,3.722609753464153,0.9306524383660383,0.017130533854166668,13.239251067075147,0.397078373702843,2,0.0,0.0,0.048342524248363966,0.048342524248363966
5,L,8,2.0,0.0,False,evidence,DBP-like,dbp_like,3.7398787772491797,0.9349696943122949,0.016153971354166668,13.402344044309517,0.3989204029065792,1,0.0,0.0,0.047431022266677204,0.04568415491622857
5,L,8,2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.7106995916127024,0.9276748979031756,0.0169677734375,14.46437886083714,0.39580795643868827,60,0.022654000000329688,0.0,0.048342524248363966,0.03635523877250945
5,L,8,2.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.74327192006506,0.935817980016265,0.014567057291666666,14.029999747216548,0.3992823381402731,7538,2.180029099996318,0.00840819999575615,0.047431022266677204,0.039536664308065655
5,L,8,4.0,0.0,False,evidence,Raw,raw,3.436626588701309,0.8591566471753272,0.034464518229166664,11.784258410038666,0.3665735027948063,0,0.0,0.0,0.0,0.0
5,L,8,4.0,0.0,False,evidence,Linear EQ,linear,3.4355982359654633,0.8588995589913658,0.034383138020833336,11.783175399870371,0.3664638118363161,2,0.0,0.0,0.06630710294730542,0.06630710294730542
5,L,8,4.0,0.0,False,evidence,DBP-like,dbp_like,3.4679008241992855,0.8669752060498214,0.032633463541666664,11.961939977437112,0.3699094212479238,1,0.0,0.0,0.06630925659658281,0.06365111302196194
5,L,8,4.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.472704726421677,0.8681761816054192,0.030476888020833332,13.083073865615354,0.37042183748497887,60,0.008706000000529457,0.0,0.06630710294730542,0.049118579214884515
5,L,8,4.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.6103501893078676,0.9025875473269669,0.021565755208333332,13.247209147874866,0.38510402019283924,7538,2.7338563000012073,0.011173600003530737,0.06630925659658281,0.04734554119335196
