spans,launch_power_dbm,pcs_nu,scenario,display_name,n_seeds,n_channels_per_seed,total_net_rate_tbps_mean,total_net_rate_tbps_std,total_net_rate_tbps_ci95,mean_gsnr_db_mean,mean_gsnr_db_std,mean_gsnr_db_ci95,mean_ber_mean,mean_ber_std,mean_ber_ci95,mean_ngmi_mean,mean_ngmi_std,mean_ngmi_ci95,mean_score_mean,mean_score_std,mean_score_ci95,mean_inference_time_ms_per_channel_mean,mean_inference_time_ms_per_channel_std,mean_inference_time_ms_per_channel_ci95,mean_residual_mse_improvement_percent_mean,mean_residual_mse_improvement_percent_std,mean_residual_mse_improvement_percent_ci95
8,0.0,0.18,pcs_only,PCS only,3,15,6.388064655570683,0.0,0.0,17.167978669590326,0.005125531817797545,0.005800085262500993,0.0005041147254997172,1.101769485689776e-05,1.2467695419298992e-05,1.0,0.0,0.0,1.105028402939163,5.896707110351984e-05,6.672752257488434e-05,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.24,pcs_only,PCS only,3,15,6.3788242238952835,1.0877919644084146e-15,1.2309524876080796e-15,17.078605471745103,0.005511741332431984,0.006237122470287058,0.0005112152751813958,8.275241403920397e-06,9.364317190238654e-06,1.0,0.0,0.0,1.100730938001769,9.635928679728254e-05,0.0001090407979358096,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.3,pcs_only,PCS only,3,15,6.366998109685756,0.0,0.0,16.987072691706032,0.001945695916320046,0.002201762199655127,0.0005217379846322452,8.290611904785664e-06,9.38171054935045e-06,1.0,0.0,0.0,1.0961233785444746,5.2024152602139836e-05,5.88708706780469e-05,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,0.0,pcs_only,PCS only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,14.482379768378038,0.0036868622323491473,0.004172077368531216,0.007363492063492062,4.863985220966541e-05,5.504117426252412e-05,1.0,0.0,0.0,0.8955094764494073,0.000668322012935924,0.0007562775523848603,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,0.0,uniform_baseline,Uniform baseline,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,14.096512772463107,0.003688993539113264,0.004174489169177833,0.009471428571428572,6.615449518785626e-05,7.486085858543273e-05,1.0,0.0,0.0,0.8484557489937624,0.0008453239849824431,0.000956574139352839,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,0.06,pcs_only,PCS only,3,15,6.398670795073586,0.0,0.0,14.398633053194416,0.003433847144003475,0.00388576384297501,0.00742852694489212,4.957377206871162e-05,5.609800407128697e-05,1.0,0.0,0.0,0.8910954709593005,0.0007907389351226417,0.0008948053406214794,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,0.12,pcs_only,PCS only,3,15,6.394687769473973,0.0,0.0,14.31365399032204,0.005129929957197912,0.005805062225755795,0.00749193285984507,5.4962585662363265e-05,6.219602070994567e-05,1.0,0.0,0.0,0.886479684680137,0.0009277660564427342,0.0010498661255671318,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,0.18,pcs_only,PCS only,3,15,6.388064655570683,0.0,0.0,14.22576290556384,0.005433232605947668,0.006148281482922928,0.007577623555224455,7.873027656462781e-05,8.909169488120464e-05,1.0,0.0,0.0,0.8812371399322322,0.0013046504572228849,0.0014763509736449617,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,0.24,pcs_only,PCS only,3,15,6.3788242238952835,1.0877919644084146e-15,1.2309524876080796e-15,14.136386424816857,0.005859346453667148,0.0066304746945080135,0.007647525705361566,8.168817879738363e-05,9.243887635582825e-05,1.0,0.0,0.0,0.8759975196719365,0.001354813928049759,0.00153311628468031,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,0.3,pcs_only,PCS only,3,15,6.366998109685756,0.0,0.0,14.044849113987453,0.0023329633326520786,0.00263999653590776,0.007765439667293999,0.00010876546974297755,0.00012307971553990262,1.0,0.0,0.0,0.8697789101958052,0.0016754259538526788,0.001895922945909694,0.0,0.0,0.0,0.0,0.0,0.0
8,4.0,0.0,pcs_only,PCS only,3,15,5.750788284581067,0.00396502964720042,0.004486853430945779,10.483646355333455,0.003557105426635832,0.004025243720183989,0.04709047619047619,0.0006036359972976765,0.000683078434843429,0.8985606694657918,0.0006195358823750368,0.0007010708485852453,0.09637459699493323,0.009129232389751692,0.010330698964326868,0.0,0.0,0.0,0.0,0.0,0.0
8,4.0,0.0,uniform_baseline,Uniform baseline,3,15,5.541781824250009,0.0014672566317834122,0.0016603571822076165,9.99712739386005,0.0035336938948110543,0.003998751077949682,0.05404126984126984,0.0003374014791394275,0.00038180571622000765,0.8659034100390639,0.00022925884871616016,0.00025943080971994236,-0.04128183024797838,0.005084548405972733,0.005753708166156239,0.0,0.0,0.0,0.0,0.0,0.0
8,4.0,0.06,pcs_only,PCS only,3,15,5.719531470642728,0.0036663132291716266,0.00414882398239962,10.399825863629202,0.0030017854958869408,0.0033968400616356856,0.047455887777253764,0.0006414953963544279,0.0007259203779475038,0.8938624370308698,0.0005729804433749393,0.0006483884099169082,0.08545681592921024,0.009703557352567506,0.01098060884121957,0.0,0.0,0.0,0.0,0.0,0.0
8,4.0,0.12,pcs_only,PCS only,3,15,5.683839252541225,0.0021853335775561438,0.002472937741371488,10.314985577439115,0.004468856834035844,0.005056987564356967,0.0478269997197828,0.000590838585713299,0.0006685968003580144,0.8888376504751189,0.0003417420296872006,0.0003867175115532961,0.07411704413690424,0.008786047510263057,0.009942348714519907,0.0,0.0,0.0,0.0,0.0,0.0
8,4.0,0.18,pcs_only,PCS only,3,15,5.644034740083616,0.0017503832575058364,0.001980745120015777,10.227254356696884,0.005078408862966341,0.0057467606192136535,0.04831868081887511,0.0005263256159052661,0.0005955935026076299,0.883528117574978,0.000274008381549412,0.00031006967318162275,0.0605789446569898,0.007752849529520416,0.008773175135196341,0.0,0.0,0.0,0.0,0.0,0.0
8,4.0,0.24,pcs_only,PCS only,3,15,5.601425626831589,0.001939885604027256,0.002195187212337144,10.137931832923131,0.005342778580410674,0.006045923117176512,0.04875496708536838,0.0005427770586049746,0.0006142100625552494,0.878128230254169,0.0003041133500371644,0.00034413665203590686,0.047621142158505554,0.007978970640097555,0.009029055259956231,0.0,0.0,0.0,0.0,0.0,0.0
8,4.0,0.3,pcs_only,PCS only,3,15,5.555280105953347,0.0008625552113486853,0.0009760731075876329,10.046059609918208,0.0017691173244134164,0.0020019447124171082,0.04928429543518478,0.0004787863268034327,0.0005417977327419771,0.8725116625215282,0.0001354728235330317,0.00015330193142396208,0.03292995993251307,0.007084347593738199,0.008016693980944149,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,0.0,pcs_only,PCS only,3,15,3.7302847538493697,0.0009145064702588514,0.0010348614912880207,6.015477992253088,0.00338666760535835,0.0038323751690744804,0.11645714285714287,0.0001543768102614032,0.00017469380620367157,0.582856992788964,0.00014289163597795167,0.00016169710801376016,-1.2575523729103948,0.00229209510637666,0.0025937497842825857,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,0.0,uniform_baseline,Uniform baseline,3,15,3.509053587077519,0.000832754865174634,0.0009423508413319891,5.485094820273381,0.003374105028636869,0.00381815927525283,0.12433650793650793,0.00018573463461981184,0.0002101785249393469,0.5482896229808624,0.00013011794768362435,0.00014724231895822264,-1.4117069204315158,0.002620179176961248,0.002965011860161512,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,0.06,pcs_only,PCS only,3,15,3.6945192056149736,0.0006444371491446049,0.000729249284607488,5.931533629095635,0.0025506579782627738,0.002886341217906931,0.11737993399094977,0.0002333494011077932,0.0002640597055078519,0.5773885427047487,0.00010071422171631454,0.00011396887071751018,-1.2771363843260894,0.003421982970152953,0.00387233826640104,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,0.12,pcs_only,PCS only,3,15,3.6577795369740045,0.0014644124468042733,0.0016571386839194882,5.846851905639121,0.0036948781392071722,0.004181148221056484,0.11822352661085883,0.00023620276975439686,0.00026728859609403103,0.5720028356091097,0.00022900452681914662,0.0002591430174011673,-1.2956268538057172,0.0035531780330299643,0.004020799455943089,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,0.18,pcs_only,PCS only,3,15,3.6191734505014934,0.0017338758241439221,0.0019620652006693204,5.759315403917267,0.004631244110370655,0.005240746066258519,0.11913010194522024,0.00035529930637153936,0.00040205901434593136,0.5665524138590879,0.00027142427599448094,0.0003071454824676252,-1.3153006829881801,0.005347085824742595,0.006050797222978532,0.0,0.0,0.0,0.0,0.0,0.0
