seed,scenario_group,spans,launch_power_dbm,pcs_nu,shaped,scenario,symbol_count,ssfm_steps_per_span,n_bands,bands,gmi,ngmi,ber,gsnr_db,rate_tbps,rate_tbps_per_channel
8,C,10,2.0,0.0,False,uniform_raw,32768,8,1,C,3.6314618206338367,0.9078654551584592,0.02220916748046875,12.781157452359984,0.4648271130411311,0.4648271130411311
8,C,10,2.0,0.24,True,pcs_raw,32768,8,1,C,3.6576373537123184,0.9177180534444415,0.0189971923828125,12.70577595352,0.4681775812751768,0.4681775812751768
9,C,10,2.0,0.0,False,uniform_raw,32768,8,1,C,3.633600247879437,0.9084000619698592,0.0220947265625,12.857522963804442,0.4651008317285679,0.4651008317285679
9,C,10,2.0,0.24,True,pcs_raw,32768,8,1,C,3.650220655816604,0.9158638789705129,0.01961517333984375,12.641492652592202,0.46722824394452533,0.46722824394452533
10,C,10,2.0,0.0,False,uniform_raw,32768,8,1,C,3.6237839133391487,0.9059459783347872,0.02225494384765625,12.840138744971767,0.463844340907411,0.463844340907411
10,C,10,2.0,0.24,True,pcs_raw,32768,8,1,C,3.6573425295280324,0.91764434739837,0.018890380859375,12.701188336821541,0.4681398437795881,0.4681398437795881
1,C,10,2.0,0.0,False,uniform_raw,65536,8,1,C,3.6447744647967237,0.9111936161991809,0.021488189697265625,12.884211178333082,0.4665311314939807,0.4665311314939807
1,C,10,2.0,0.24,True,pcs_raw,65536,8,1,C,3.6618424134465837,0.9187693183780078,0.018924713134765625,12.712508469636237,0.4687158289211627,0.4687158289211627
2,C,10,2.0,0.0,False,uniform_raw,65536,8,1,C,3.6323111617016437,0.9080777904254109,0.021686553955078125,12.857895033690204,0.46493582869781036,0.46493582869781036
2,C,10,2.0,0.24,True,pcs_raw,65536,8,1,C,3.6650189882056403,0.919563462067772,0.018951416015625,12.699141309337154,0.469122430490322,0.469122430490322
3,C,10,2.0,0.0,False,uniform_raw,65536,8,1,C,3.6287170998707827,0.9071792749676957,0.021595001220703125,12.844328097491456,0.4644757887834602,0.4644757887834602
3,C,10,2.0,0.24,True,pcs_raw,65536,8,1,C,3.654956160755609,0.9170477552052642,0.018978118896484375,12.687233662715435,0.46783438857671794,0.46783438857671794
4,C,10,2.0,0.0,False,uniform_raw,65536,8,1,C,3.6363439764447545,0.9090859941111886,0.02194976806640625,12.84898793303314,0.4654520289849286,0.4654520289849286
4,C,10,2.0,0.24,True,pcs_raw,65536,8,1,C,3.662577333940993,0.9189530485016101,0.01934051513671875,12.680032100434628,0.46880989874444706,0.46880989874444706
5,C,10,2.0,0.0,False,uniform_raw,65536,8,1,C,3.642865642668291,0.9107164106670728,0.02156829833984375,12.840717076358196,0.46628680226154123,0.46628680226154123
5,C,10,2.0,0.24,True,pcs_raw,65536,8,1,C,3.660264666833816,0.9183748817248159,0.019031524658203125,12.691320031607226,0.46851387735472844,0.46851387735472844
6,C,10,2.0,0.0,False,uniform_raw,65536,8,1,C,3.6436777395902005,0.9109194348975501,0.021762847900390625,12.88127766291927,0.46639075066754565,0.46639075066754565
6,C,10,2.0,0.24,True,pcs_raw,65536,8,1,C,3.6702033076343676,0.9208595419249538,0.019123077392578125,12.687789372608194,0.46978602337719905,0.46978602337719905
7,C,10,2.0,0.0,False,uniform_raw,65536,8,1,C,3.643882021577116,0.910970505394279,0.021633148193359375,12.86012819558395,0.46641689876187087,0.46641689876187087
7,C,10,2.0,0.24,True,pcs_raw,65536,8,1,C,3.650214776170131,0.9158624090588946,0.0192718505859375,12.68915252250363,0.46722749134977676,0.46722749134977676
8,C,10,2.0,0.0,False,uniform_raw,65536,8,1,C,3.6409368969239004,0.9102342242309751,0.02155303955078125,12.879759093327516,0.4660399228062593,0.4660399228062593
8,C,10,2.0,0.24,True,pcs_raw,65536,8,1,C,3.664748034308357,0.9194957235934511,0.018886566162109375,12.730011774173855,0.46908774839146966,0.46908774839146966
9,C,10,2.0,0.0,False,uniform_raw,65536,8,1,C,3.6407062802909564,0.9101765700727391,0.021381378173828125,12.87301892300649,0.4660104038772424,0.4660104038772424
9,C,10,2.0,0.24,True,pcs_raw,65536,8,1,C,3.6531510988390545,0.9165964897261255,0.019084930419921875,12.687576359128308,0.46760334065139897,0.46760334065139897
10,C,10,2.0,0.0,False,uniform_raw,65536,8,1,C,3.6368248655289404,0.9092062163822351,0.021480560302734375,12.860229901140144,0.4655135827877043,0.4655135827877043
10,C,10,2.0,0.24,True,pcs_raw,65536,8,1,C,3.6572300853412485,0.917616236351674,0.019306182861328125,12.7182732153221,0.4681254509236798,0.4681254509236798
