seed,scenario_group,spans,launch_power_dbm,pcs_nu,shaped,scenario,symbol_count,ssfm_steps_per_span,n_bands,bands,gmi,ngmi,ber,gsnr_db,rate_tbps,rate_tbps_per_channel
2,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.643304829911746,0.9108262074779365,0.0211029052734375,12.917681999852766,0.3886191818572529,0.3886191818572529
2,C,10,2.0,0.36,True,pcs_raw,16384,8,1,C,3.6738666260204527,0.9184666565051132,0.019317626953125,12.533085848537937,0.39187910677551496,0.39187910677551496
3,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.6246483392758693,0.9061620848189673,0.0227203369140625,12.798833929970355,0.38662915618942606,0.38662915618942606
3,C,10,2.0,0.36,True,pcs_raw,16384,8,1,C,3.6958163467321494,0.9239540866830374,0.017364501953125,12.690321788116028,0.39422041031809596,0.39422041031809596
4,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.6330003516455607,0.9082500879113902,0.02166748046875,12.858751524187648,0.3875200375088598,0.3875200375088598
4,C,10,2.0,0.36,True,pcs_raw,16384,8,1,C,3.6853472411196213,0.9213368102799053,0.018829345703125,12.571846248019078,0.39310370571942627,0.39310370571942627
5,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.651090985428513,0.9127727463571282,0.0216522216796875,12.883649973178184,0.38944970511237476,0.38944970511237476
5,C,10,2.0,0.36,True,pcs_raw,16384,8,1,C,3.6799336617438687,0.9199834154359672,0.0187225341796875,12.60021448688445,0.39252625725267937,0.39252625725267937
6,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.6301411514784365,0.9075352878696091,0.0224609375,12.798375370071753,0.3872150561576999,0.3872150561576999
6,C,10,2.0,0.36,True,pcs_raw,16384,8,1,C,3.687076740200598,0.9217691850501495,0.0187530517578125,12.581702934915477,0.3932881856213971,0.3932881856213971
7,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.640054287577911,0.9100135718944777,0.02197265625,12.869863535253334,0.38827245734164384,0.38827245734164384
7,C,10,2.0,0.36,True,pcs_raw,16384,8,1,C,3.689221867909064,0.922305466977266,0.01751708984375,12.619122971785,0.3935169992436335,0.3935169992436335
1,S,12,-2.0,0.0,False,uniform_raw,16384,8,1,S,3.761045035166008,0.940261258791502,0.015472412109375,13.553034511958312,0.4011781370843742,0.4011781370843742
1,S,12,-2.0,0.36,True,pcs_raw,16384,8,1,S,3.823975694255292,0.955993923563823,0.0111236572265625,13.446029086829423,0.4078907407205645,0.4078907407205645
2,S,12,-2.0,0.0,False,uniform_raw,16384,8,1,S,3.767086331442736,0.941771582860684,0.0155181884765625,13.544549648243569,0.40182254202055845,0.40182254202055845
2,S,12,-2.0,0.36,True,pcs_raw,16384,8,1,S,3.8240967583080545,0.9560241895770136,0.0115814208984375,13.449089490046052,0.4079036542195258,0.4079036542195258
3,S,12,-2.0,0.0,False,uniform_raw,16384,8,1,S,3.7487185791431648,0.9371796447857912,0.0157470703125,13.408554883406588,0.39986331510860423,0.39986331510860423
3,S,12,-2.0,0.36,True,pcs_raw,16384,8,1,S,3.81123234178896,0.95280808544724,0.012115478515625,13.409862823320726,0.4065314497908224,0.4065314497908224
4,S,12,-2.0,0.0,False,uniform_raw,16384,8,1,S,3.7478710170075167,0.9369677542518792,0.0161895751953125,13.441018504697446,0.3997729084808018,0.3997729084808018
4,S,12,-2.0,0.36,True,pcs_raw,16384,8,1,S,3.8319245501099863,0.9579811375274966,0.010986328125,13.496619237139253,0.40873861867839856,0.40873861867839856
5,S,12,-2.0,0.0,False,uniform_raw,16384,8,1,S,3.7545619223173547,0.9386404805793387,0.01593017578125,13.47376906093935,0.40048660504718453,0.40048660504718453
5,S,12,-2.0,0.36,True,pcs_raw,16384,8,1,S,3.8230602911965286,0.9557650727991321,0.0114288330078125,13.408960365421912,0.40779309772762967,0.40779309772762967
6,S,12,-2.0,0.0,False,uniform_raw,16384,8,1,S,3.7556946854667514,0.9389236713666879,0.0156707763671875,13.411746939898988,0.40060743311645347,0.40060743311645347
6,S,12,-2.0,0.36,True,pcs_raw,16384,8,1,S,3.8112237586689006,0.9528059396672252,0.0122528076171875,13.397708183292597,0.40653053425801605,0.40653053425801605
7,S,12,-2.0,0.0,False,uniform_raw,16384,8,1,S,3.7409788461155324,0.9352447115288831,0.0164337158203125,13.424255577460753,0.3990377435856568,0.3990377435856568
7,S,12,-2.0,0.36,True,pcs_raw,16384,8,1,S,3.8056326599367196,0.9514081649841799,0.0126190185546875,13.359760495647572,0.40593415039325004,0.40593415039325004
1,C,10,2.0,0.0,False,uniform_raw,16384,12,1,C,3.639765303966205,0.9099413259915512,0.0212554931640625,12.83164734154882,0.3882416324230618,0.3882416324230618
1,C,10,2.0,0.36,True,pcs_raw,16384,12,1,C,3.6850730839172714,0.9212682709793178,0.018585205078125,12.659000526521016,0.393074462284509,0.393074462284509
2,C,10,2.0,0.0,False,uniform_raw,16384,12,1,C,3.6433002427839005,0.9108250606959751,0.0211029052734375,12.91765884206891,0.3886186925636161,0.3886186925636161
