spans,launch_power_dbm,pcs_nu,scenario,display_name,n_seeds,n_channels_per_seed,total_net_rate_tbps_mean,total_net_rate_tbps_std,total_net_rate_tbps_ci95,mean_gsnr_db_mean,mean_gsnr_db_std,mean_gsnr_db_ci95,mean_ber_mean,mean_ber_std,mean_ber_ci95,mean_ngmi_mean,mean_ngmi_std,mean_ngmi_ci95,mean_score_mean,mean_score_std,mean_score_ci95,mean_inference_time_ms_per_channel_mean,mean_inference_time_ms_per_channel_std,mean_inference_time_ms_per_channel_ci95,mean_residual_mse_improvement_percent_mean,mean_residual_mse_improvement_percent_std,mean_residual_mse_improvement_percent_ci95
8,2.0,0.0,neural_only,Neural NLI only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,15.982975818052433,0.046369372698530156,0.05247188482691492,0.009944444444444445,0.00014399021550700388,0.00016294026777993623,1.0,0.0,0.0,0.9168190327220973,0.0012615418643949412,0.001427569008604707,1.2424266665523949,0.04766339228150581,0.053936205833867504,35.18108411121927,0.6498642476104812,0.735390624657465
8,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,16.418387793679837,0.04174892311726596,0.04724335392025576,0.00785714285714286,3.3333333333333254e-05,3.772021758705546e-05,1.0,0.0,0.0,0.9655450355567176,0.0013928211246677404,0.0015761254764694377,1.1740755555769686,0.05911257544449009,0.0668921762369221,35.92337283449529,0.5800804377574073,0.6564228099061151
10,-2.0,0.0,neural_only,Neural NLI only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,19.219056433004926,0.09512098577549499,0.10763952841640662,0.0008174603174603175,4.6979836783964255e-05,5.316268997086463e-05,1.0,0.0,0.0,1.1831670192249593,0.004121876979915504,0.004664342896484646,1.349915555450328,0.2990547852606002,0.3384123471144004,37.8288713207204,1.3448269522640188,1.5218149576900668
10,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,19.354630813490314,0.0939351411306573,0.10629761887557494,0.0007015873015873016,4.398859193825722e-05,4.97777777777778e-05,1.0,0.0,0.0,1.1903280896824697,0.004105645940005652,0.004645975745772733,1.203755555575804,0.028091325938768907,0.03178832780157782,37.80081440603339,1.3291413304742568,1.5040650056831242
10,0.0,0.0,neural_only,Neural NLI only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,17.75779276073603,0.06393496770561258,0.0723492267983123,0.0030317460317460317,8.320852331480079e-05,9.415930813595611e-05,1.0,0.0,0.0,1.0915021866199175,0.0034934431633997856,0.003953203087543547,1.215711111136544,0.024600508081829012,0.02783809552796127,37.37064330087387,0.9068864417432735,1.0262386172792055
10,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,18.017764269116984,0.07260367493918896,0.08215879248978179,0.002515873015873016,0.00010651491472893723,0.00012053297279526542,1.0,0.0,0.0,1.1096391421932508,0.004050724714385308,0.004583826528356319,1.2202533331825787,0.010538369959539958,0.011925288236602112,37.53271717334596,1.0240022837359253,1.158767668564827
10,2.0,0.0,neural_only,Neural NLI only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,14.04538541888195,0.023788347946467944,0.026919049817320708,0.023739682539682536,0.00014399021550700453,0.00016294026777993693,1.0,0.0,0.0,0.6323868453267066,0.0018867420452892104,0.002135049614368657,1.2207111111719213,0.036664336000317176,0.04148960194850634,31.626073683073752,0.3430421191796039,0.38818870130937905
10,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,14.501867381495067,0.03280371420089692,0.037120897119642476,0.01977936507936508,0.00022397832202630179,0.000253455331248471,1.0,0.0,0.0,0.7100508857359932,0.002372314431714367,0.0026845264964753387,1.14003999984157,0.006086940673091821,0.0068880217988556555,32.39868491736882,0.4769008315621128,0.5396640940191187
12,-2.0,0.0,neural_only,Neural NLI only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,17.967760541789357,0.08739995145124685,0.09890235557517368,0.002525396825396825,0.00013404007703838637,0.00015168062613820868,1.0,0.0,0.0,1.1074961359572886,0.005225544269015609,0.005913260005141798,1.572522222057968,0.36140033430770885,0.40896297738364185,37.169445981529456,1.2472487404377248,1.4113948162347587
12,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,18.124447111575705,0.09169664224210036,0.10376451892123245,0.002258730158730159,0.00010490610566259269,0.0001187124339541091,1.0,0.0,0.0,1.1177635987487424,0.0050673911548563,0.00573429290879701,2.017839999987498,1.1114923449595477,1.2577719929466225,37.27796511497647,1.3046448020221455,1.4763445741828902
12,0.0,0.0,neural_only,Neural NLI only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,16.299872458685904,0.040231334484479755,0.045526040717165636,0.008085714285714286,7.046975517594606e-05,7.974403495629658e-05,1.0,0.0,0.0,0.9573758507283886,0.0012645076666332753,0.0014309251297772115,1.2392333333587482,0.08382539810995433,0.09485736768087097,35.153468818867616,0.5753810187337056,0.6511049166629119
12,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,16.59128991565988,0.047000452685290676,0.05318601905937821,0.006777777777777778,2.7492869961412016e-06,3.1111111111112543e-06,1.0,0.0,0.0,0.9886515966263952,0.0019045216262785472,0.002155169104274391,1.2537888887891313,0.06700414337213312,0.07582232601693381,35.56193161435427,0.6707814054802285,0.7590606170419546
12,2.0,0.0,neural_only,Neural NLI only,3,15,6.256305404910876,0.0112663581773412,0.012749084455890378,12.435770884371967,0.0104720020372811,0.011850185862549963,0.04102222222222222,0.0003738120513512743,0.0004230081574090095,0.9775477195173244,0.0017603684652095415,0.001992044446232848,0.2991845290356037,0.006577640649337175,0.007443301095073788,1.178944444553862,0.04042657127295954,0.04574697194143929,29.09212998070303,0.1843235426593778,0.20858172406585943
12,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.3412295536514796,0.006520303790845991,0.007378418331732418,12.891643853378909,0.00608971481756092,0.006891161038845427,0.03552857142857143,0.00040002834366699837,0.00045267468492325843,0.9908171177580436,0.0010187974673197115,0.001152877864333219,0.40548581961668356,0.0063457499229289125,0.007180892035377587,1.193099999929675,0.021443635822608203,0.02426575827259081,29.681574823108463,0.05350079921255501,0.06054185362136836
