seed,scenario_group,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,n_bands,bands,gmi,ngmi,ber,gsnr_db,rate_tbps,rate_tbps_per_channel
2,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,S,3.751825004229132,0.937956251057283,0.01629638671875,13.464644869461608,0.40019466711777407,0.40019466711777407
2,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,S,3.8294856756078968,0.9573714189019742,0.010833740234375,13.464754110914122,0.40847847206484234,0.40847847206484234
3,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,3.5931168395077275,0.8982792098769319,0.024566650390625,12.683269115368565,0.38326579621415763,0.38326579621415763
3,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,3.69313820777392,0.92328455194348,0.017791748046875,12.645327263302768,0.39393474216255153,0.39393474216255153
3,C+S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,2,C+S,3.5841012212845715,0.8960253053211429,0.0266876220703125,12.29578668360611,0.7646082605407086,0.3823041302703543
3,C+S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,2,C+S,3.66343992490879,0.9158599812271975,0.0208740234375,12.198754865182519,0.7815338506472086,0.3907669253236043
3,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,S,3.763042398328362,0.9407605995820905,0.015106201171875,13.485207041653682,0.40139118915502525,0.40139118915502525
3,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,S,3.8090525207425077,0.9522631301856269,0.01214599609375,13.342769474589861,0.4062989355458675,0.4062989355458675
4,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,3.618492159585318,0.9046230398963295,0.021240234375,12.804431977349452,0.38597249702243397,0.38597249702243397
4,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,3.679314974841715,0.9198287437104288,0.017852783203125,12.568783581905954,0.39246026398311634,0.39246026398311634
4,C+S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,2,C+S,3.5883967966703896,0.8970991991675974,0.026153564453125,12.316628862400531,0.7655246499563497,0.38276232497817486
4,C+S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,2,C+S,3.671667405371739,0.9179168513429348,0.0206146240234375,12.175376974421841,0.7832890464793043,0.39164452323965215
4,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,S,3.749130630375234,0.9372826575938085,0.016143798828125,13.48908476737713,0.39990726724002496,0.39990726724002496
4,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,S,3.8262420971028357,0.9565605242757089,0.010406494140625,13.513553162587673,0.4081324903576358,0.4081324903576358
5,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,3.650769445568562,0.9126923613921405,0.021331787109375,12.878974570391096,0.3894154075273133,0.3894154075273133
5,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,3.691226894590329,0.9228067236475822,0.019500732421875,12.65581802624762,0.39373086875630176,0.39373086875630176
5,C+S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,2,C+S,3.5801900963814,0.89504752409535,0.026397705078125,12.251039326852712,0.763773887228032,0.381886943614016
5,C+S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,2,C+S,3.6752517679755954,0.9188129419938988,0.0201416015625,12.229806700076315,0.7840537105014604,0.3920268552507302
5,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,S,3.7439899870534323,0.9359974967633581,0.015777587890625,13.437345187175332,0.39935893195236616,0.39935893195236616
5,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,S,3.8316858871081925,0.9579214717770481,0.01129150390625,13.46714548202467,0.4087131612915405,0.4087131612915405
6,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,3.643066303788542,0.9107665759471355,0.02178955078125,12.850501991298653,0.3885937390707778,0.3885937390707778
6,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,3.682791016970726,0.9206977542426815,0.01861572265625,12.612971346240505,0.39283104181021083,0.39283104181021083
6,C+S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,2,C+S,3.596832123545395,0.8992080308863487,0.0255126953125,12.336286153767706,0.7673241863563509,0.38366209317817546
6,C+S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,2,C+S,3.6497040849012468,0.9124260212253117,0.0214385986328125,12.137045582949384,0.778603538112266,0.389301769056133
6,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,S,3.7612933894603153,0.9403233473650788,0.016448974609375,13.415367058580223,0.4012046282091003,0.4012046282091003
6,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,S,3.815059848838345,0.9537649622095863,0.011749267578125,13.466419615861838,0.40693971720942346,0.40693971720942346
7,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,3.624709853447658,0.9061774633619145,0.02154541015625,12.795916439411135,0.38663571770108357,0.38663571770108357
7,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,3.675335402026077,0.9188338505065192,0.01959228515625,12.614689465131718,0.39203577621611485,0.39203577621611485
7,C+S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,2,C+S,3.5872179777340767,0.8968044944335192,0.0267486572265625,12.359481340785454,0.7652731685832698,0.3826365842916349
7,C+S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,2,C+S,3.6708199220587567,0.9177049805146892,0.020538330078125,12.22205178881231,0.7831082500392015,0.39155412501960074
7,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,S,3.7469119093503203,0.9367279773375801,0.016143798828125,13.495503616517174,0.3996706036640342,0.3996706036640342
7,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,S,3.809154022856085,0.9522885057140212,0.01202392578125,13.345908811074983,0.40630976243798245,0.40630976243798245
