scenario_group,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,n_bands,bands,n_seeds,symbol_entropy_bits_mean,symbol_entropy_bits_std,symbol_entropy_bits_ci95,conditional_bit_entropy_sum_mean,conditional_bit_entropy_sum_std,conditional_bit_entropy_sum_ci95,bmd_gmi_bits_per_symbol_mean,bmd_gmi_bits_per_symbol_std,bmd_gmi_bits_per_symbol_ci95,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,air_tbps_mean,air_tbps_std,air_tbps_ci95,air_tbps_per_channel_mean,air_tbps_per_channel_std,air_tbps_per_channel_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95,rate_tbps_per_channel_mean,rate_tbps_per_channel_std,rate_tbps_per_channel_ci95
C,6,2.0,0.24,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.986765139934552,4.796711693331816e-16,3.553453750400821e-16,0.11581993788596072,0.009381390191492889,0.006949831111650224,3.8709452020485915,0.00938139019149287,0.00694983111165021,3.8709452020485915,0.00938139019149287,0.00694983111165021,0.9710450155285099,0.0023453475478732175,0.0017374577779125525,0.007228306361607143,0.0007455348296822378,0.0005522999308613071,14.242260534181554,0.06638943527254101,0.04918198191568569,0.4954809858622197,0.0012008179445111013,0.0008895783822912373,0.4954809858622197,0.0012008179445111013,0.0008895783822912373,0.4954809858622197,0.0012008179445111013,0.0008895783822912373,0.4954809858622197,0.0012008179445111013,0.0008895783822912373
C,6,2.0,0.28,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.982015709386645,9.593423386663633e-16,7.106907500801642e-16,0.10803928384748145,0.005442559880583691,0.004031904783088515,3.8739764255391647,0.005442559880583731,0.004031904783088546,3.8739764255391647,0.005442559880583731,0.004031904783088546,0.9729901790381296,0.0013606399701459328,0.0010079761957721364,0.0067138671875,0.0006103515625,0.000452154765074515,14.216079289481245,0.049458825114667974,0.03663961038943718,0.495868982469013,0.0006966476647147152,0.000516083812235332,0.495868982469013,0.0006966476647147152,0.000516083812235332,0.495868982469013,0.0006966476647147152,0.000516083812235332,0.495868982469013,0.0006966476647147152,0.000516083812235332
C,6,2.0,0.32,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.976555119443372,0.0,0.0,0.11052105642615308,0.005681083795609452,0.004208605772140422,3.8660340630172194,0.005681083795609451,0.004208605772140421,3.8660340630172194,0.005681083795609451,0.004208605772140421,0.9723697358934619,0.0014202709489023627,0.0010521514430351052,0.006971086774553571,0.0005187560846581406,0.0003842998855099626,14.191322509522896,0.02856434686180659,0.02116076428461198,0.4948523600662041,0.0007271787258380111,0.000538701538833975,0.4948523600662041,0.0007271787258380111,0.000538701538833975,0.4948523600662041,0.0007271787258380111,0.000538701538833975,0.4948523600662041,0.0007271787258380111,0.000538701538833975
C,6,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.970391608345835,0.0,0.0,0.11222382739707219,0.00654335113231186,0.004847382354379621,3.8581677809487624,0.006543351132311887,0.004847382354379641,3.8581677809487624,0.006543351132311887,0.004847382354379641,0.9719440431507318,0.0016358377830779718,0.0012118455885949102,0.007075718470982143,0.0005581265330208401,0.00041346592181435023,14.152700603965158,0.027223154485587618,0.02016719506803605,0.4938454759614416,0.000837548944935933,0.0006204649413606026,0.4938454759614416,0.000837548944935933,0.0006204649413606026,0.4938454759614416,0.000837548944935933,0.0006204649413606026,0.4938454759614416,0.000837548944935933,0.0006204649413606026
C,6,4.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,7,4.0,0.0,0.0,0.2591136684024233,0.009284448596622145,0.006878015773166954,3.7408863315975767,0.009284448596622122,0.006878015773166938,3.7408863315975767,0.009284448596622122,0.006878015773166938,0.9352215828993942,0.0023211121491555305,0.0017195039432917345,0.015803745814732144,0.0007527865649083437,0.0005576720914962567,13.417387903545475,0.04806191504950621,0.03560476493126168,0.4788334504444898,0.0011884094203676386,0.000880386018965373,0.4788334504444898,0.0011884094203676386,0.000880386018965373,0.4788334504444898,0.0011884094203676386,0.000880386018965373,0.4788334504444898,0.0011884094203676386,0.000880386018965373
C,6,4.0,0.12,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.996679855921233,0.0,0.0,0.24289254893399828,0.0073453395376830745,0.005441503679371079,3.7537873069872347,0.007345339537683031,0.005441503679371047,3.7537873069872347,0.007345339537683031,0.005441503679371047,0.9392768627665005,0.0018363348844207578,0.0013603759198427617,0.014626639229910714,0.0005026033835848514,0.0003723337970982336,13.339266979229551,0.04228305223347944,0.031323723447111415,0.48048477529436606,0.0009402034608234241,0.0006965124709594912,0.48048477529436606,0.0009402034608234241,0.0006965124709594912,0.48048477529436606,0.0009402034608234241,0.0006965124709594912,0.48048477529436606,0.0009402034608234241,0.0006965124709594912
C,6,4.0,0.16,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.994102801322579,4.796711693331816e-16,3.553453750400821e-16,0.2394542811649242,0.006220310700349487,0.004608070653390052,3.7546485201576543,0.00622031070034952,0.004608070653390076,3.7546485201576543,0.00622031070034952,0.004608070653390076,0.940136429708769,0.00155507767508738,0.001152017663347519,0.014561244419642858,0.0005991683220658885,0.00044387010462317467,13.313908857394223,0.013909319843650276,0.010304168339459243,0.4805950105801798,0.0007961997696447277,0.0005898330436339217,0.4805950105801798,0.0007961997696447277,0.0005898330436339217,0.4805950105801798,0.0007961997696447277,0.0005898330436339217,0.4805950105801798,0.0007961997696447277,0.0005898330436339217
C,6,4.0,0.2,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.9907962143176587,4.796711693331816e-16,3.553453750400821e-16,0.22755623015111048,0.011133753644465002,0.008248000124535764,3.763239984166549,0.011133753644465078,0.00824800012453582,3.763239984166549,0.011133753644465078,0.00824800012453582,0.9431109424622223,0.0027834384111162696,0.002062000031133955,0.013575962611607142,0.0006040704052286873,0.000447501618650553,13.324637122333987,0.05175889722734848,0.038343527655584096,0.48169471797331825,0.0014251204664915253,0.0010557440159405815,0.48169471797331825,0.0014251204664915253,0.0010557440159405815,0.48169471797331825,0.0014251204664915253,0.0010557440159405815,0.48169471797331825,0.0014251204664915253,0.0010557440159405815
C,6,4.0,0.24,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.986765139934552,4.796711693331816e-16,3.553453750400821e-16,0.22013472012945584,0.011808348879653648,0.008747747268358483,3.7666304198050966,0.011808348879653667,0.008747747268358497,3.7666304198050966,0.011808348879653667,0.008747747268358497,0.9449663199676361,0.002952087219913417,0.0021869368170896243,0.013270786830357142,0.0006441133694033847,0.00047716586164050606,13.27642804866738,0.07719490809622305,0.05718678820486596,0.4821286937350524,0.0015114686565956634,0.0011197116503498833,0.4821286937350524,0.0015114686565956634,0.0011197116503498833,0.4821286937350524,0.0015114686565956634,0.0011197116503498833,0.4821286937350524,0.0015114686565956634,0.0011197116503498833
C,6,4.0,0.28,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.982015709386645,9.593423386663633e-16,7.106907500801642e-16,0.22941025517889063,0.008475664198272672,0.006278859906122477,3.7526054542077554,0.008475664198272602,0.006278859906122426,3.7526054542077554,0.008475664198272602,0.006278859906122426,0.9426474362052772,0.0021189160495681506,0.0015697149765306064,0.013859340122767858,0.0007075052717180311,0.0005241272400652652,13.223174267991583,0.053176085572366485,0.03939339547370402,0.48033349813859266,0.0010848850173789076,0.0008036940679836813,0.48033349813859266,0.0010848850173789076,0.0008036940679836813,0.48033349813859266,0.0010848850173789076,0.0008036940679836813,0.48033349813859266,0.0010848850173789076,0.0008036940679836813
C,6,4.0,0.32,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.976555119443372,0.0,0.0,0.22222892658075385,0.006098410367822411,0.00451776562330129,3.754326192862618,0.00609841036782245,0.0045177656233013185,3.754326192862618,0.00609841036782245,0.0045177656233013185,0.9444427683548116,0.0015246025919556125,0.0011294414058253296,0.013296944754464286,0.0006802783417071531,0.0005039572480489528,13.187678989464233,0.04515674493269194,0.033452584790542125,0.4805537526864151,0.0007805965270812639,0.0005782739997825616,0.4805537526864151,0.0007805965270812639,0.0005782739997825616,0.4805537526864151,0.0007805965270812639,0.0005782739997825616,0.4805537526864151,0.0007805965270812639,0.0005782739997825616
