stress_name,stress_noise,stress_nonlinear,stress_implementation,stress_phase,launch_power_dbm,spans,in_target_region,selector_score,gmi,ngmi,ber,gsnr_db,rate_tbps
edge_plus,0.12,4.2,0.018,0.044,4.0,6,True,0.5710081505853031,2.9153659670653242,0.7288414917663311,0.07645670572916667,9.725129592318776,0.31097236982030124
medium_plus,0.03,2.2,0.004,0.018,4.0,10,True,0.5888766706420628,3.6262602220492646,0.9065650555123161,0.018391927083333332,13.160950925159337,0.38680109035192156
strong_plus,0.085,3.4,0.012,0.034,0.0,8,True,0.5901562389167254,3.592321538512791,0.8980803846281977,0.027587890625,12.394823027967007,0.383180964108031
evidence,0.055,2.8,0.008,0.026,6.0,8,True,0.593288296423517,2.885406154588515,0.7213515386471288,0.06998697916666667,9.58438617625492,0.3077766564894416
near_limit,0.16,5.0,0.026,0.055,-2.0,8,True,0.593469414287737,2.896659147951571,0.7241647869878928,0.079833984375,9.79661310770249,0.3089769757815009
strong_plus,0.085,3.4,0.012,0.034,-2.0,10,True,0.6076103409566115,3.6149214076944096,0.9037303519236024,0.0260009765625,12.596904964775963,0.38559161682073706
evidence,0.055,2.8,0.008,0.026,2.0,10,True,0.6098875862063758,3.6313388586580846,0.9078347146645211,0.0220947265625,12.819984307599599,0.3873428115901957
strong_plus,0.085,3.4,0.012,0.034,-2.0,8,True,0.6226919762899119,3.63619982151368,0.90904995537842,0.024210611979166668,12.7651495598143,0.38786131429479254
strong_plus,0.085,3.4,0.012,0.034,0.0,6,True,0.6414553729695731,3.661636291568694,0.9154090728921735,0.022420247395833332,12.809509422935683,0.39057453776732737
strong_plus,0.085,3.4,0.012,0.034,-2.0,6,True,0.6722964811651675,3.7014364417879793,0.9253591104469948,0.020222981770833332,13.040203694975279,0.39481988712405114
evidence,0.055,2.8,0.008,0.026,2.0,8,True,0.7093043819408476,3.772189640136058,0.9430474100340145,0.013712565104166666,13.618143411132152,0.40236689494784617
evidence,0.055,2.8,0.008,0.026,4.0,6,True,0.7154822557140889,3.771197277004685,0.9427993192511712,0.014892578125,13.541698157193927,0.40226104288049974
near_limit,0.16,5.0,0.026,0.055,0.0,8,False,0.6331730888261745,2.8582735396218837,0.7145683849054709,0.0810546875,9.494016319585741,0.304882510893001
near_limit,0.16,5.0,0.026,0.055,-2.0,10,False,0.6421465613793385,2.850684301884736,0.712671075471184,0.08235677083333333,9.540415256403316,0.3040729922010385
near_limit,0.16,5.0,0.026,0.055,2.0,6,False,0.6751847128759033,2.8207237348476877,0.7051809337119219,0.0853271484375,9.396751076313187,0.3008771983837534
edge_plus,0.12,4.2,0.018,0.044,2.0,10,False,0.710491857187206,2.783150577769806,0.6957876444424514,0.0831298828125,9.235118406996165,0.2968693949621127
medium_plus,0.03,2.2,0.004,0.018,6.0,6,False,0.7198327472438361,3.8086559838789067,0.9521639959697267,0.010172526041666666,14.130935109757623,0.40625663828041675
evidence,0.055,2.8,0.008,0.026,0.0,10,False,0.7299652593013339,3.8068001183240137,0.9517000295810034,0.011678059895833334,14.004089151925038,0.40605867928789485
medium_plus,0.03,2.2,0.004,0.018,4.0,6,False,0.7499521903415493,3.9480427345133187,0.9870106836283297,0.0027669270833333335,15.941340549557712,0.4211245583480873
evidence,0.055,2.8,0.008,0.026,2.0,6,False,0.7512177312078814,3.8527382193471733,0.9631845548367933,0.0087890625,14.258770269691096,0.4109587433970318
medium_plus,0.03,2.2,0.004,0.018,4.0,8,False,0.7521341108334517,3.8754834928577573,0.9688708732144393,0.0068359375,14.873579557818509,0.41338490590482746
evidence,0.055,2.8,0.008,0.026,0.0,8,False,0.7623816938973966,3.857321748061671,0.9643304370154178,0.009480794270833334,14.30958001994764,0.4114476531265783
evidence,0.055,2.8,0.008,0.026,-2.0,10,False,0.7624328312302727,3.874183823859041,0.9685459559647602,0.0078125,14.380054176074143,0.4132462745449644
evidence,0.055,2.8,0.008,0.026,-2.0,6,False,0.7652549362776346,3.9007956034902254,0.9751989008725563,0.005940755208333333,14.741983493196319,0.4160848643722907
medium_plus,0.03,2.2,0.004,0.018,2.0,10,False,0.7669407548534368,3.9012996501439234,0.9753249125359809,0.006022135416666667,15.235057828447015,0.4161386293486852
evidence,0.055,2.8,0.008,0.026,0.0,6,False,0.7701511613858687,3.8950656109125656,0.9737664027281414,0.0067138671875,14.753855308326834,0.415473665164007
evidence,0.055,2.8,0.008,0.026,-2.0,8,False,0.771750292511621,3.8812682856487806,0.9703170714121951,0.008015950520833334,14.60737714524907,0.41400195046920324
near_limit,0.16,5.0,0.026,0.055,0.0,10,False,0.7886461398370703,2.7155521406976706,0.6788880351744176,0.0938720703125,9.082926176370577,0.28965889500775155
strong_plus,0.085,3.4,0.012,0.034,4.0,10,False,0.7972470373313645,2.699690800212222,0.6749227000530555,0.08634440104166667,9.001547341213756,0.2879670186893037
medium_plus,0.03,2.2,0.004,0.018,0.0,10,False,0.8132665557378554,3.9754978201234463,0.9938744550308616,0.0018310546875,16.489308776778596,0.42405310081316766
medium_plus,0.03,2.2,0.004,0.018,2.0,8,False,0.8386606614496398,3.979063031950217,0.9947657579875543,0.0014241536458333333,16.227920939364438,0.4244333900746899
medium_plus,0.03,2.2,0.004,0.018,0.0,8,False,0.8683556950857632,3.986217209548083,0.9965543023870207,0.0010986328125,16.93337125446654,0.4251965023517955
medium_plus,0.03,2.2,0.004,0.018,2.0,6,False,0.8990385342768294,3.9863780160979174,0.9965945040244794,0.0007731119791666666,16.87297009511226,0.42521365505044456
medium_plus,0.03,2.2,0.004,0.018,-2.0,10,False,0.9315686613535931,3.992383030119763,0.9980957575299407,0.0005696614583333334,17.01003980117887,0.4258541898794414
